epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,triplet_loss,time
0,7.374740,7.496762,0.696000,0.903221,0.997463,1.399019,06:39
1,6.550871,6.464609,0.596000,1.068622,0.675015,1.180243,06:39
2,6.320909,6.465781,0.615000,1.050882,0.631687,1.195803,06:40
3,6.274669,6.343068,0.625000,0.982208,0.610299,1.187640,06:38
