epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,fool_loss,time
87,7.181803,7.247275,0.773000,0.013000,440.750000,7.247273,04:45
88,7.145920,7.231843,0.765000,0.005000,476.000000,7.231844,04:31
89,7.107521,7.253523,0.769000,0.011000,499.000000,7.253523,04:32
90,7.075345,7.197328,0.765000,0.007000,499.500000,7.197328,04:45
91,7.033945,7.189578,0.769000,0.014000,448.250000,7.189578,04:44
92,7.151886,7.238894,0.777000,0.008000,447.250000,7.238893,04:41
93,7.082906,7.294728,0.762000,0.010000,407.750000,7.294728,04:42
94,7.107465,7.123877,0.760000,0.017000,479.750000,7.123877,04:45
95,7.063843,7.159125,0.765000,0.016000,457.250000,7.159123,04:45
96,7.108183,7.149454,0.770000,0.008000,442.750000,7.149454,04:30
97,7.065901,7.132571,0.780000,0.013000,442.250000,7.132570,04:27
98,7.086716,7.086372,0.781000,0.015000,434.750000,7.086372,04:30
99,7.008718,7.121657,0.765000,0.012000,442.750000,7.121658,04:45
100,7.050166,7.167062,0.779000,0.013000,408.500000,7.167060,04:45
101,6.999914,7.110508,0.769000,0.016000,409.250000,7.110507,04:45
102,7.037196,7.065104,0.778000,0.013000,427.500000,7.065104,04:30
103,7.018029,7.129835,0.752000,0.014000,451.000000,7.129834,04:30
104,7.010445,7.107466,0.768000,0.012000,459.250000,7.107466,04:40
105,6.955342,7.059289,0.770000,0.018000,521.000000,7.059289,04:40
106,6.898390,7.110080,0.760000,0.006000,541.250000,7.110080,04:38
107,6.896617,7.122395,0.766000,0.021000,506.000000,7.122395,04:39
108,7.041392,7.022897,0.764000,0.009000,530.750000,7.022897,04:38
109,6.909771,7.050733,0.773000,0.015000,543.000000,7.050734,04:35
110,6.970789,6.988001,0.779000,0.017000,494.000000,6.988000,04:29
111,7.078745,7.119954,0.763000,0.013000,485.000000,7.119955,04:29
112,6.986868,7.053133,0.764000,0.018000,500.000000,7.053132,04:30
113,6.961425,7.062588,0.768000,0.019000,466.000000,7.062588,04:29
114,6.925451,7.094462,0.773000,0.010000,476.250000,7.094461,04:29
115,6.909436,7.146536,0.762000,0.014000,472.500000,7.146537,04:30
116,6.880484,7.049105,0.770000,0.015000,433.250000,7.049104,04:34
117,6.930860,7.071098,0.757000,0.017000,444.000000,7.071098,04:39
118,6.820182,7.110179,0.763000,0.012000,523.250000,7.110180,04:37
119,6.953035,6.963007,0.766000,0.030000,481.500000,6.963005,04:39
120,6.885809,7.036367,0.760000,0.014000,491.500000,7.036368,04:39
121,6.947986,6.947133,0.778000,0.018000,477.750000,6.947132,04:32
122,6.918746,6.999331,0.762000,0.015000,480.500000,6.999330,04:26
123,6.889489,6.985003,0.775000,0.024000,526.000000,6.985003,04:29
124,6.854790,6.938088,0.776000,0.014000,493.750000,6.938088,04:28
125,6.913384,6.983122,0.769000,0.017000,510.250000,6.983121,04:27
126,6.871823,6.986185,0.772000,0.017000,497.250000,6.986186,04:28
127,6.918505,6.983828,0.764000,0.021000,481.000000,6.983828,04:34
128,6.729586,6.985651,0.773000,0.023000,478.750000,6.985651,04:47
129,6.836720,6.973722,0.768000,0.015000,497.250000,6.973722,04:47
130,6.790989,6.995498,0.763000,0.018000,527.250000,6.995497,04:55
131,6.938893,6.948646,0.763000,0.028000,472.250000,6.948645,04:40
132,6.844292,6.912377,0.757000,0.024000,473.000000,6.912376,04:45
133,6.842428,6.943539,0.778000,0.023000,473.750000,6.943539,04:52
134,6.813390,6.967888,0.771000,0.019000,472.000000,6.967888,04:44
135,6.830756,6.932814,0.759000,0.018000,506.250000,6.932814,04:38
136,6.742096,6.930699,0.755000,0.029000,498.000000,6.930699,04:33
137,6.820731,6.830379,0.756000,0.018000,487.750000,6.830378,04:40
138,6.714640,6.974002,0.753000,0.012000,485.000000,6.974001,04:40
139,6.852444,6.870633,0.760000,0.019000,468.500000,6.870634,04:52
140,6.731638,6.904561,0.761000,0.019000,470.500000,6.904562,04:52
