epoch,train_loss,valid_loss,validation,fool_loss,triplet_loss,time
0,4.720376,4.598967,0.430000,1.809801,1.394583,06:05
1,3.724373,3.823629,0.662000,1.023691,1.399969,06:05
2,3.473131,3.517756,0.740000,0.717742,1.400007,06:05
3,3.313174,3.358552,0.793000,0.558569,1.399992,06:07
4,3.262751,3.332319,0.794000,0.532330,1.399994,06:05
5,3.228966,3.313741,0.802000,0.513747,1.399997,06:05
6,3.260311,3.304360,0.811000,0.504373,1.399993,06:05
7,3.219945,3.310575,0.803000,0.510583,1.399996,06:06
8,3.257992,3.306024,0.810000,0.506047,1.399988,06:06
9,3.302496,3.307104,0.805000,0.507124,1.399990,06:06
10,3.267676,3.285294,0.815000,0.485268,1.400013,06:06
11,3.238212,3.282925,0.816000,0.482927,1.399999,06:06
12,3.192775,3.276171,0.819000,0.476191,1.399991,06:07
13,3.169750,3.275126,0.817000,0.475124,1.400001,06:06
14,3.189508,3.267495,0.822000,0.467463,1.400016,06:07
15,3.213500,3.257484,0.823000,0.457488,1.399998,06:06
16,3.243083,3.252390,0.827000,0.452398,1.399996,06:07
17,3.147915,3.248256,0.823000,0.448256,1.400000,06:05
18,3.183698,3.244649,0.828000,0.444634,1.400007,06:07
19,3.190718,3.242431,0.828000,0.442418,1.400006,06:08
20,3.189275,3.244980,0.829000,0.444976,1.400002,06:07
21,3.204358,3.238630,0.831000,0.438638,1.399997,06:06
22,3.189678,3.235149,0.834000,0.435147,1.400001,06:07
23,3.145817,3.231617,0.835000,0.431618,1.399999,06:06
24,3.182515,3.229625,0.835000,0.429628,1.399999,06:06
25,3.163233,3.233268,0.838000,0.433283,1.399993,06:07
26,3.145597,3.229716,0.839000,0.429721,1.399997,06:06
27,3.199674,3.227041,0.838000,0.427045,1.399998,06:07
28,3.209949,3.225935,0.838000,0.425942,1.399997,06:05
29,3.206024,3.224440,0.839000,0.424442,1.399999,06:06
30,3.191292,3.223061,0.843000,0.423061,1.400000,06:07
31,3.130555,3.223651,0.842000,0.423656,1.399998,06:07
32,3.134907,3.220167,0.845000,0.420163,1.400002,06:07
33,3.223815,3.222564,0.840000,0.422568,1.399998,06:07
34,3.134977,3.219274,0.844000,0.419280,1.399997,06:06
35,3.094990,3.214984,0.840000,0.414993,1.399996,06:07
36,3.166952,3.214825,0.842000,0.414850,1.399988,06:06
37,3.203520,3.212335,0.846000,0.412331,1.400002,06:07
38,3.135832,3.214734,0.845000,0.414744,1.399995,06:07
39,3.158490,3.227566,0.840000,0.427570,1.399998,06:00
