epoch,train_loss,valid_loss,validation,fool_loss,triplet_loss,time
0,6.224068,6.358495,0.475000,1.421215,1.234320,05:58
1,6.092157,6.082488,0.498000,1.313650,1.192209,05:58
2,5.312464,5.186933,0.619000,0.979059,1.051969,06:02
3,5.068031,5.006512,0.650000,0.840181,1.041583,06:00
4,4.875860,4.863191,0.715000,0.718027,1.036291,06:04
5,4.692128,4.699036,0.688000,0.771473,0.981891,06:01
6,4.516344,4.234947,0.760000,0.575651,0.914824,06:00
7,4.188075,4.149407,0.766000,0.552515,0.899223,06:01
8,4.371390,4.213864,0.743000,0.591035,0.905707,06:00
9,4.208766,4.102727,0.770000,0.544475,0.889563,06:00
10,4.152236,4.015434,0.787000,0.501782,0.878413,06:00
11,4.368492,4.009192,0.779000,0.505540,0.875913,06:02
12,4.159313,3.838284,0.787000,0.481034,0.839312,06:02
13,4.036961,3.906132,0.792000,0.476922,0.857302,06:02
14,4.129192,3.800143,0.797000,0.466410,0.833433,06:03
15,4.000823,3.918520,0.787000,0.516735,0.850447,06:04
16,4.009274,3.938142,0.785000,0.487044,0.862775,06:00
17,3.984851,3.780927,0.786000,0.477359,0.825892,06:03
18,4.041038,3.902420,0.796000,0.460714,0.860426,06:03
19,3.939021,3.836721,0.801000,0.492973,0.835937,06:01
20,4.051214,3.775723,0.800000,0.443633,0.833022,06:04
21,3.988554,3.793486,0.811000,0.464112,0.832344,06:02
22,3.971452,3.734390,0.802000,0.463568,0.817705,06:02
23,3.974795,3.684685,0.810000,0.465604,0.804770,05:59
24,3.836947,3.738841,0.802000,0.477951,0.815223,05:58
25,3.715207,3.767474,0.802000,0.444959,0.830629,05:59
26,3.833545,3.768793,0.799000,0.476212,0.823146,05:58
27,3.863435,3.692616,0.803000,0.455414,0.809301,05:59
28,3.675967,3.706351,0.793000,0.479492,0.806715,05:59
29,3.232950,4.279759,0.760000,0.561950,0.929452,05:58
30,2.484299,5.722884,0.611000,1.018564,1.176080,05:58
31,2.553425,5.770277,0.610000,1.152607,1.154418,05:58
32,2.382863,5.988900,0.584000,1.165798,1.205776,05:59
33,2.403874,5.720007,0.810000,0.453151,1.316714,05:59
34,2.393957,6.253305,0.532000,1.286047,1.241814,05:58
35,2.482855,5.815401,0.625000,0.991265,1.206034,05:59
36,2.471518,6.105300,0.638000,0.919908,1.296348,05:59
37,2.531548,5.887908,0.574000,1.183479,1.176107,05:58
38,2.452782,5.899704,0.800000,0.473429,1.356568,05:57
39,2.443339,6.340902,0.567000,1.268010,1.268223,05:58
