epoch,train_loss,valid_loss,validation,fool_loss,triplet_loss,time
0,7.089712,7.151285,0.427000,1.551514,1.399943,06:01
1,6.996943,6.982557,0.476000,1.382541,1.400004,05:58
2,6.625965,6.623687,0.502000,1.268934,1.338688,06:08
3,6.012056,5.984738,0.559000,1.076947,1.226948,06:05
4,5.763694,5.861198,0.643000,0.902459,1.239685,06:00
5,5.659641,5.685462,0.600000,1.059020,1.156610,05:59
6,5.467109,5.682889,0.577000,1.088017,1.148718,06:00
7,5.120104,5.109061,0.682000,0.821005,1.072014,05:59
8,4.921427,5.027309,0.724000,0.784875,1.060609,05:59
9,4.913494,5.067429,0.714000,0.753751,1.078419,06:00
10,4.764644,4.796293,0.704000,0.752809,1.010871,05:59
11,4.679532,4.858137,0.695000,0.789623,1.017129,05:59
12,4.699282,4.647136,0.730000,0.653244,0.998473,06:00
13,4.642928,4.694492,0.739000,0.731297,0.990799,06:01
14,4.570251,4.588782,0.722000,0.692608,0.974043,06:00
15,4.473111,4.570465,0.759000,0.597343,0.993280,05:58
16,4.411755,4.709075,0.706000,0.748840,0.990059,06:00
17,4.536869,4.736832,0.683000,0.820368,0.979116,06:05
18,4.532139,4.490196,0.733000,0.694738,0.948864,05:58
19,4.290085,4.490678,0.765000,0.606750,0.970982,06:01
20,4.445188,4.573203,0.764000,0.603327,0.992469,05:59
21,4.268747,4.371544,0.776000,0.570814,0.950182,06:01
22,4.346642,4.367491,0.811000,0.513508,0.963496,06:00
23,4.262834,4.369186,0.765000,0.589361,0.944957,06:01
24,4.336707,4.277772,0.750000,0.647606,0.907542,06:01
25,4.220721,4.302446,0.769000,0.558115,0.936083,06:03
26,4.230419,4.270524,0.792000,0.544735,0.931447,06:02
27,4.199717,4.354650,0.765000,0.606471,0.937045,06:04
28,4.055150,4.193395,0.778000,0.517515,0.918970,06:01
29,4.109435,4.123523,0.799000,0.484377,0.909787,06:00
30,4.139652,4.137666,0.789000,0.558988,0.894669,06:02
31,4.177710,4.328820,0.807000,0.503001,0.956455,06:01
32,4.037893,4.222678,0.802000,0.495778,0.931725,06:02
33,4.013649,4.111509,0.794000,0.501522,0.902497,06:02
34,4.083625,4.194426,0.793000,0.517574,0.919213,06:01
35,4.359964,4.300374,0.788000,0.497420,0.950738,06:04
36,4.073735,4.161200,0.787000,0.521278,0.909981,06:00
37,4.158579,4.185917,0.778000,0.546773,0.909786,06:10
38,4.018770,4.194173,0.778000,0.559956,0.908554,06:06
39,4.057636,4.165385,0.778000,0.573241,0.898036,06:05
