epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,time
0,4.123751,4.195171,0.407000,1.645459,0.849904,03:32
1,3.277762,3.284170,0.545000,1.141175,0.714332,03:33
2,2.801774,2.939824,0.610000,0.948191,0.663878,03:33
3,2.457671,2.608173,0.726000,0.689083,0.639697,03:33
4,2.504080,2.535782,0.747000,0.631948,0.634611,03:32
5,2.292119,2.433290,0.752000,0.606724,0.608855,03:32
6,2.087241,2.151191,0.775000,0.525664,0.541842,03:32
7,1.882523,2.078202,0.784000,0.533598,0.514868,03:33
8,1.727146,1.993589,0.794000,0.474975,0.506205,03:33
9,1.710558,1.919943,0.803000,0.475356,0.481529,03:32
10,1.660648,1.921054,0.787000,0.484350,0.478901,03:34
11,1.618855,1.848029,0.801000,0.467107,0.460307,03:33
12,1.646383,1.811382,0.799000,0.494686,0.438899,03:34
13,1.512991,1.822079,0.797000,0.501097,0.440327,03:32
14,1.665359,1.734189,0.803000,0.503564,0.410208,03:31
15,1.536062,1.809256,0.788000,0.492754,0.438834,03:33
16,1.605891,1.694275,0.810000,0.443033,0.417081,03:33
17,1.555632,1.717469,0.798000,0.462795,0.418225,03:32
18,1.479814,1.807566,0.810000,0.493685,0.437960,03:33
19,1.463560,1.662892,0.812000,0.407878,0.418338,03:33
20,1.477395,1.690435,0.811000,0.439254,0.417060,03:34
21,1.542193,1.598910,0.825000,0.409959,0.396317,03:38
22,1.466324,1.702063,0.822000,0.464667,0.412465,03:31
23,1.422754,1.645696,0.804000,0.451049,0.398216,03:36
24,1.506334,1.557515,0.815000,0.448091,0.369808,03:32
25,1.390376,1.744879,0.806000,0.504381,0.413499,03:32
26,1.412328,1.686993,0.810000,0.441338,0.415218,03:33
27,1.476959,1.629526,0.812000,0.450847,0.392893,03:33
28,1.433085,1.613042,0.817000,0.462851,0.383397,03:32
29,1.508656,1.580943,0.838000,0.383663,0.399093,03:34
30,1.448119,1.695230,0.814000,0.445993,0.416412,03:32
31,1.321856,1.586488,0.822000,0.427959,0.386177,03:33
32,1.323839,1.655725,0.817000,0.451190,0.401512,03:33
33,1.276055,1.551850,0.812000,0.441045,0.370269,03:33
34,1.373649,1.522697,0.808000,0.441056,0.360547,03:33
35,1.404608,1.608265,0.816000,0.438854,0.389804,03:42
36,1.321617,1.533288,0.817000,0.409416,0.374624,03:43
37,1.500446,1.533782,0.825000,0.413909,0.373291,03:42
38,1.354898,1.510938,0.823000,0.419468,0.363823,03:41
39,1.370844,1.576999,0.818000,0.441084,0.378638,03:33
