epoch,train_loss,valid_loss,validation,fool_loss,time
0,11.393909,11.660902,0.535000,11.660901,04:26
1,10.593036,10.834075,0.629000,10.834076,04:25
2,10.307638,10.441164,0.658000,10.441161,04:25
3,10.030644,10.152290,0.703000,10.152289,04:26
4,9.814202,9.934272,0.704000,9.934271,04:24
5,9.590753,9.727258,0.730000,9.727260,04:25
6,9.442232,9.557062,0.749000,9.557062,04:26
7,9.171160,9.497448,0.738000,9.497448,04:25
8,9.300679,9.473845,0.759000,9.473845,04:26
9,9.101624,9.390128,0.752000,9.390127,04:27
10,9.212633,9.204454,0.761000,9.204454,04:25
11,9.000584,9.225739,0.759000,9.225739,04:26
12,8.808397,9.238324,0.767000,9.238322,04:25
13,9.023756,9.113688,0.753000,9.113688,04:25
14,8.700025,9.002493,0.753000,9.002497,04:25
15,8.893433,9.000172,0.754000,9.000173,04:24
16,8.789562,8.990830,0.755000,8.990830,04:24
17,8.619659,8.809413,0.749000,8.809414,04:26
18,8.616792,8.772848,0.754000,8.772843,04:24
19,8.499053,8.697328,0.749000,8.697328,04:23
20,8.470114,8.592398,0.760000,8.592400,04:25
21,8.551804,8.553771,0.764000,8.553771,04:24
22,8.417850,8.513519,0.753000,8.513518,04:26
23,8.310906,8.626897,0.748000,8.626897,04:24
24,8.280128,8.509662,0.756000,8.509661,04:25
25,8.144464,8.231100,0.755000,8.231098,04:23
26,7.832645,8.445454,0.743000,8.445453,04:24
27,8.128209,8.245562,0.762000,8.245564,04:26
28,8.204613,8.343535,0.755000,8.343534,04:24
29,8.082209,8.067808,0.757000,8.067808,04:25
30,8.066272,8.252646,0.748000,8.252645,04:24
31,8.104920,8.326122,0.759000,8.326122,04:22
32,7.783818,8.172790,0.750000,8.172791,04:24
33,7.924614,8.208320,0.755000,8.208319,04:26
34,7.869884,8.090775,0.745000,8.090775,04:23
35,7.690830,7.969398,0.753000,7.969396,04:23
36,7.886711,8.054467,0.744000,8.054469,04:25
37,7.642392,8.026970,0.757000,8.026971,04:25
38,7.546550,7.977877,0.754000,7.977878,04:25
39,7.828463,7.990885,0.752000,7.990887,04:23
40,7.670368,7.805784,0.751000,7.805786,04:24
41,7.685514,7.886083,0.760000,7.886082,04:24
42,7.639114,7.766935,0.758000,7.766935,04:25
43,7.466726,7.903502,0.737000,7.903503,04:25
44,7.563500,7.911349,0.751000,7.911351,04:23
45,7.417957,7.878092,0.744000,7.878092,04:24
46,7.461017,7.776619,0.748000,7.776618,04:22
47,7.502519,7.741347,0.763000,7.741348,04:24
48,7.420818,7.742750,0.751000,7.742752,04:31
49,7.509635,7.638127,0.755000,7.638126,04:33
