epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,triplet_loss,time
0,14.996195,14.930190,0.404000,1.822843,0.769855,12.337492,06:21
1,14.089456,14.278019,0.467000,1.472512,0.768405,12.037103,06:22
2,13.644823,13.415051,0.581000,1.064832,0.687275,11.662946,06:22
3,13.033065,12.706840,0.592000,1.017528,0.638175,11.051139,06:21
4,11.817239,11.429596,0.674000,0.834123,0.539078,10.056396,06:22
5,11.559565,11.471708,0.614000,0.965505,0.504960,10.001245,06:22
6,11.575599,11.298019,0.679000,0.793793,0.536029,9.968196,06:23
7,11.464374,10.819078,0.696000,0.683307,0.508749,9.627024,06:22
8,11.334371,11.014321,0.656000,0.828305,0.535496,9.650520,06:23
9,10.966940,10.720963,0.676000,0.804258,0.504739,9.411968,06:22
10,11.446795,10.810752,0.725000,0.707704,0.519742,9.583303,06:23
11,10.842533,10.726248,0.695000,0.756907,0.471052,9.498288,06:22
12,11.029361,10.403469,0.726000,0.712774,0.496607,9.194089,06:23
13,10.883691,10.401293,0.708000,0.768805,0.482519,9.149969,06:23
14,10.867472,10.066336,0.716000,0.651143,0.491190,8.924004,06:22
15,10.645936,10.403118,0.726000,0.660051,0.467415,9.275657,06:22
16,10.628056,10.073728,0.729000,0.662292,0.474531,8.936904,06:22
17,10.570968,10.162882,0.705000,0.704676,0.463431,8.994775,06:22
18,10.541138,9.872732,0.747000,0.603553,0.480894,8.788287,06:23
19,10.575457,10.296280,0.716000,0.709745,0.454431,9.132103,06:22
20,10.621519,9.669518,0.738000,0.602462,0.444694,8.622361,06:24
21,10.222358,10.014005,0.736000,0.611069,0.438608,8.964330,06:22
22,10.424537,9.969116,0.737000,0.656313,0.451872,8.860932,06:22
23,10.367893,9.750708,0.736000,0.604590,0.462653,8.683466,06:22
24,10.223797,9.771185,0.750000,0.562292,0.474960,8.733930,06:22
25,10.042561,9.806334,0.720000,0.679900,0.414082,8.712351,06:23
26,9.916869,9.697330,0.763000,0.608900,0.453567,8.634860,06:22
27,10.035710,9.774787,0.739000,0.610618,0.458308,8.705862,06:22
28,10.176420,9.835494,0.736000,0.623878,0.424660,8.786957,06:23
29,10.036463,9.815119,0.755000,0.605757,0.449464,8.759900,06:23
30,10.226301,9.744737,0.745000,0.569224,0.444351,8.731160,06:22
31,10.036014,9.481155,0.776000,0.557866,0.442790,8.480500,06:23
32,9.963845,9.898898,0.742000,0.590938,0.417440,8.890521,06:22
33,9.894147,9.962873,0.765000,0.578114,0.423032,8.961727,06:22
34,9.937756,9.758103,0.743000,0.613800,0.414316,8.729988,06:22
35,10.215290,9.876681,0.752000,0.595133,0.417282,8.864267,06:22
36,9.999642,9.637986,0.764000,0.576368,0.427092,8.634526,06:22
37,9.792655,9.862322,0.744000,0.590875,0.425009,8.846437,06:22
38,9.799954,9.516239,0.760000,0.556358,0.433872,8.526008,06:23
39,10.131435,9.430593,0.762000,0.577472,0.423256,8.429865,06:22
