epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,entropy,fool_loss,time
77,3.541299,3.916121,0.717000,0.455000,493.000000,8.051641,3.916122,04:26
78,3.668445,4.007731,0.715000,0.424000,512.000000,8.092088,4.007731,04:26
79,3.692473,3.908278,0.714000,0.434000,503.000000,7.983697,3.908278,04:24
80,3.629163,3.884778,0.707000,0.457000,491.250000,8.039468,3.884778,04:27
81,3.628590,3.941681,0.714000,0.442000,517.250000,8.312287,3.941682,04:27
82,3.655730,3.865391,0.716000,0.442000,506.500000,8.215216,3.865391,04:25
83,3.605936,3.892747,0.728000,0.441000,513.500000,8.205025,3.892747,04:24
84,3.583477,3.868623,0.716000,0.429000,501.000000,8.051103,3.868623,04:25
85,3.683888,3.893049,0.724000,0.440000,506.000000,8.177229,3.893049,04:25
86,3.677874,3.926755,0.722000,0.457000,501.000000,7.987098,3.926755,04:23
87,3.598270,3.930535,0.709000,0.441000,496.500000,7.968405,3.930535,04:25
88,3.557039,3.906152,0.723000,0.428000,506.250000,8.127255,3.906152,04:27
89,3.522500,3.872412,0.713000,0.444000,485.250000,7.973689,3.872411,04:22
90,3.553093,3.830605,0.725000,0.459000,498.250000,8.043483,3.830605,04:08
91,3.630186,3.804491,0.723000,0.456000,503.750000,7.992276,3.804490,04:12
92,3.536331,3.792405,0.720000,0.455000,504.000000,8.125160,3.792405,04:03
93,3.644084,3.865547,0.713000,0.447000,541.500000,8.362131,3.865548,04:05
94,3.639925,3.801008,0.725000,0.465000,494.500000,8.084299,3.801008,04:04
95,3.500143,3.917806,0.720000,0.434000,524.500000,8.214170,3.917806,04:06
96,3.621989,3.868369,0.717000,0.437000,510.000000,8.101528,3.868370,04:06
97,3.578583,3.792556,0.725000,0.458000,532.500000,8.171361,3.792557,04:15
98,3.491273,3.851397,0.708000,0.452000,530.250000,8.278079,3.851397,04:15
99,3.428944,3.810614,0.718000,0.462000,536.750000,8.304911,3.810614,04:05
