epoch,train_loss,valid_loss,validation,fool_loss,triplet_loss,time
0,8.430002,8.502378,0.199000,2.914517,1.396966,06:03
1,7.133847,7.157726,0.469000,1.557967,1.399940,06:16
2,5.861260,5.761675,0.675000,0.788515,1.243290,06:19
3,5.194669,5.113597,0.694000,0.653857,1.114935,06:14
4,4.982833,4.955807,0.725000,0.650639,1.076292,06:15
5,4.967762,4.941363,0.723000,0.650786,1.072644,06:15
6,4.782714,4.708091,0.739000,0.603818,1.026068,06:13
7,4.632054,4.752252,0.728000,0.618409,1.033461,06:16
8,4.725068,4.770055,0.744000,0.635614,1.033610,06:18
9,4.703069,4.777328,0.752000,0.561282,1.054011,06:17
10,4.659790,4.693217,0.711000,0.691884,1.000333,06:03
11,4.721874,4.698141,0.749000,0.571388,1.031688,05:46
12,4.595818,4.664055,0.751000,0.592210,1.017961,05:46
13,4.575022,4.667090,0.711000,0.688048,0.994760,05:45
14,4.435630,4.546721,0.757000,0.596575,0.987537,05:45
15,4.457269,4.502496,0.754000,0.588233,0.978566,05:45
16,4.414829,4.530355,0.753000,0.557411,0.993236,05:46
17,4.560615,4.438185,0.748000,0.593530,0.961164,05:45
18,4.364310,4.308021,0.754000,0.625492,0.920632,05:46
19,4.344761,4.436896,0.769000,0.556142,0.970189,05:46
20,4.248838,4.418644,0.757000,0.581904,0.959185,05:45
21,4.281404,4.392921,0.772000,0.523870,0.967263,05:46
22,4.400711,4.328357,0.788000,0.528119,0.950060,05:46
23,4.246668,4.363217,0.776000,0.526811,0.959102,05:46
24,4.220090,4.310023,0.784000,0.511156,0.949717,05:46
25,4.253721,4.328288,0.793000,0.495905,0.958096,05:46
26,4.228934,4.309411,0.791000,0.493997,0.953854,05:46
27,4.175613,4.239988,0.782000,0.545352,0.923659,05:45
28,4.097494,4.217482,0.791000,0.490013,0.931867,05:46
29,4.131386,4.195495,0.801000,0.467343,0.932038,05:46
30,4.202236,4.121688,0.795000,0.493453,0.907058,05:46
31,4.271133,4.205986,0.781000,0.485126,0.930215,05:46
32,4.198525,4.215525,0.803000,0.533889,0.920409,05:47
33,4.245510,4.099564,0.792000,0.527304,0.893065,05:46
34,4.124897,4.125475,0.796000,0.466021,0.914863,05:46
35,4.107715,4.200430,0.791000,0.482342,0.929522,05:46
36,4.285912,4.094597,0.799000,0.457000,0.909399,05:47
37,4.165269,4.152006,0.801000,0.458750,0.923314,05:46
38,4.161234,4.140132,0.796000,0.467225,0.918227,05:46
39,4.293107,4.220185,0.811000,0.477683,0.935626,05:46
