epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,time
0,1.512248,1.544503,0.463000,0.642941,0.901562,07:08
1,1.200752,1.249528,0.533000,0.544266,0.705261,07:10
2,1.217701,1.236087,0.556000,0.481342,0.754745,07:11
3,1.112454,1.172220,0.551000,0.488260,0.683960,07:08
4,1.105035,1.191699,0.616000,0.422648,0.769051,07:09
5,0.858655,0.875184,0.755000,0.258121,0.617063,07:09
6,0.771425,0.819442,0.750000,0.254981,0.564460,07:09
7,0.749195,0.794505,0.786000,0.214411,0.580094,07:09
8,0.753759,0.835690,0.766000,0.238142,0.597547,07:10
9,0.690455,0.803005,0.791000,0.209812,0.593192,07:09
10,0.715664,0.827352,0.748000,0.263646,0.563707,07:08
11,0.698151,0.792183,0.778000,0.217308,0.574875,07:10
12,0.694094,0.883960,0.727000,0.282498,0.601462,07:10
13,0.708123,0.791013,0.760000,0.243185,0.547828,07:09
14,0.711789,0.810752,0.759000,0.247791,0.562961,07:09
15,0.696677,0.769096,0.787000,0.221629,0.547467,07:08
16,0.680636,0.857353,0.745000,0.254528,0.602825,07:09
17,0.634789,0.784876,0.754000,0.245281,0.539594,07:10
18,0.677666,0.776624,0.800000,0.200171,0.576453,07:08
19,0.679570,0.760443,0.794000,0.211949,0.548494,07:07
20,0.705651,0.761058,0.763000,0.238093,0.522965,07:09
21,0.676577,0.723205,0.805000,0.186562,0.536642,07:10
22,0.644717,0.754750,0.800000,0.192617,0.562133,07:10
23,0.689930,0.737019,0.797000,0.194695,0.542325,07:09
24,0.675929,0.822675,0.776000,0.215123,0.607552,07:09
25,0.659709,0.758400,0.798000,0.192089,0.566311,07:08
26,0.658307,0.793081,0.741000,0.254836,0.538244,07:09
27,0.681392,0.732278,0.784000,0.218668,0.513609,07:08
28,0.616658,0.768959,0.741000,0.263733,0.505226,07:09
29,0.675329,0.751446,0.810000,0.185737,0.565709,07:08
30,0.640390,0.760735,0.788000,0.210446,0.550289,07:08
31,0.664492,0.721801,0.819000,0.179979,0.541822,07:08
32,0.645722,0.706193,0.807000,0.190268,0.515925,07:08
33,0.625911,0.734106,0.812000,0.178407,0.555699,07:08
34,0.630947,0.752676,0.805000,0.203006,0.549670,07:09
35,0.644533,0.751003,0.829000,0.169511,0.581492,07:09
36,0.698976,0.820824,0.786000,0.215143,0.605681,07:08
37,0.643178,0.848991,0.695000,0.319467,0.529524,07:09
38,0.648642,0.751562,0.782000,0.217780,0.533782,07:09
39,0.681507,0.744155,0.791000,0.207566,0.536589,07:09
40,0.623353,0.794176,0.748000,0.257148,0.537028,07:09
41,0.652926,0.925055,0.749000,0.247760,0.677295,07:10
42,0.676633,0.798005,0.793000,0.202394,0.595611,07:09
43,0.660327,0.770172,0.791000,0.215952,0.554221,07:07
44,0.623304,0.753211,0.794000,0.211267,0.541944,07:08
45,0.628053,0.732772,0.781000,0.219999,0.512772,07:10
46,0.658211,0.700573,0.817000,0.180113,0.520460,07:10
47,0.679980,0.751800,0.786000,0.210350,0.541450,07:08
48,0.673863,0.719233,0.801000,0.195983,0.523250,07:07
49,0.678839,0.703182,0.833000,0.164082,0.539100,07:09
