epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,entropy,fool_loss,time
0,8.887346,8.938241,0.538000,0.000000,551.500000,8.761213,8.938243,04:05
1,8.721943,8.767644,0.553000,0.000000,536.250000,8.666719,8.767644,04:01
2,8.575626,8.687823,0.567000,0.001000,546.250000,8.690463,8.687824,04:04
3,8.631008,8.722775,0.576000,0.002000,508.250000,8.504032,8.722774,04:14
4,8.533248,8.648197,0.566000,0.000000,501.500000,8.479345,8.648198,04:09
5,8.660748,8.626550,0.561000,0.000000,507.750000,8.516913,8.626550,04:04
6,8.537527,8.586222,0.579000,0.000000,513.250000,8.572592,8.586223,04:03
7,8.495667,8.525400,0.588000,0.000000,520.750000,8.395079,8.525401,04:06
8,8.451694,8.518700,0.588000,0.000000,476.750000,8.137964,8.518700,04:50
9,8.502098,8.520459,0.591000,0.001000,508.500000,8.398355,8.520458,04:59
10,8.393929,8.528690,0.592000,0.001000,509.250000,8.470930,8.528691,04:58
11,8.404799,8.468461,0.588000,0.001000,495.000000,8.399978,8.468461,05:00
12,8.397922,8.446004,0.592000,0.000000,482.000000,8.327886,8.446004,04:55
13,8.372392,8.529314,0.600000,0.000000,486.000000,8.386209,8.529314,05:00
14,8.347605,8.431465,0.599000,0.002000,483.750000,8.390648,8.431466,04:52
15,8.394770,8.443600,0.604000,0.001000,490.250000,8.360522,8.443600,04:52
16,8.376895,8.396925,0.598000,0.000000,480.750000,8.296247,8.396925,04:57
17,8.366883,8.406398,0.603000,0.000000,497.500000,8.370754,8.406398,04:57
18,8.331021,8.419504,0.607000,0.000000,493.000000,8.386946,8.419503,05:04
19,8.142763,8.173059,0.715000,0.002000,475.000000,8.185875,8.173059,05:02
20,8.081475,8.093279,0.728000,0.002000,263.000000,6.088027,8.093278,05:03
21,8.091380,8.076458,0.732000,0.001000,260.000000,6.082582,8.076459,05:09
22,8.041106,8.031011,0.745000,0.001000,300.000000,6.349395,8.031010,05:00
23,7.947837,8.085098,0.748000,0.000000,231.000000,5.448009,8.085098,05:00
24,7.979271,8.052031,0.752000,0.001000,221.250000,5.381677,8.052032,05:00
25,7.993448,8.028829,0.746000,0.002000,240.500000,5.542748,8.028829,05:03
26,7.998622,8.007010,0.747000,0.001000,270.000000,6.051167,8.007011,04:53
27,7.914056,8.030524,0.760000,0.001000,232.500000,5.508907,8.030524,04:55
28,7.953149,7.979606,0.763000,0.000000,238.250000,5.440698,7.979605,04:54
29,7.969123,8.040524,0.760000,0.001000,257.250000,5.716507,8.040524,05:04
30,7.895160,7.988171,0.769000,0.001000,314.750000,6.241627,7.988170,04:57
31,7.983415,7.946681,0.772000,0.003000,258.000000,5.733770,7.946680,04:55
32,7.931828,7.908359,0.760000,0.001000,259.750000,5.678565,7.908359,04:59
33,7.947586,7.980770,0.749000,0.001000,266.250000,5.888583,7.980770,04:57
34,7.870082,7.876379,0.752000,0.001000,322.000000,6.358705,7.876379,05:00
35,7.832829,7.849148,0.770000,0.003000,262.500000,5.796184,7.849149,04:59
36,7.869466,7.921492,0.761000,0.001000,295.000000,6.111918,7.921492,05:08
37,7.810522,7.931281,0.727000,0.001000,304.250000,6.266120,7.931281,05:24
38,7.825006,7.912126,0.755000,0.000000,298.750000,6.206034,7.912127,05:23
39,7.778843,7.876837,0.759000,0.001000,284.750000,5.857918,7.876838,05:24
40,7.796441,7.889936,0.764000,0.002000,340.500000,6.319558,7.889936,05:25
41,7.789474,7.819039,0.757000,0.002000,278.750000,5.965370,7.819040,05:20
42,7.827324,7.824172,0.761000,0.003000,295.000000,5.989420,7.824173,05:11
43,7.686010,7.761286,0.760000,0.000000,361.750000,6.641211,7.761285,05:15
44,7.745134,7.824093,0.760000,0.002000,326.250000,6.332490,7.824093,05:11
45,7.801487,7.796826,0.767000,0.001000,346.500000,6.591590,7.796825,05:03
46,7.764151,7.800453,0.763000,0.001000,320.500000,6.411409,7.800453,05:02
47,7.742409,7.788646,0.766000,0.000000,310.000000,6.221153,7.788647,05:05
48,7.683580,7.731624,0.770000,0.002000,311.500000,6.344684,7.731625,05:12
49,7.727005,7.741049,0.763000,0.000000,296.750000,6.277793,7.741049,05:04
50,7.698625,7.715349,0.772000,0.001000,300.750000,6.131466,7.715349,05:09
51,7.635565,7.673371,0.759000,0.001000,302.500000,6.026968,7.673371,05:04
