epoch,train_loss,valid_loss,validation,fool_loss,triplet_loss,time
0,6.725708,6.692989,0.461000,1.447623,1.311342,05:58
1,6.599407,6.579618,0.467000,1.402594,1.294256,06:00
2,6.523624,6.530144,0.493000,1.352464,1.294420,06:00
3,6.512630,6.538240,0.486000,1.356872,1.295342,05:59
4,6.524500,6.562355,0.471000,1.468923,1.273358,06:01
5,6.432163,6.511611,0.473000,1.352082,1.289882,05:58
6,6.238612,6.332441,0.480000,1.343186,1.247313,05:59
7,6.358486,6.485996,0.471000,1.384035,1.275490,06:00
8,6.243340,6.354803,0.481000,1.460446,1.223589,06:00
9,6.048339,6.007863,0.525000,1.241546,1.191579,06:00
10,5.918669,5.984087,0.574000,1.127334,1.214188,06:00
11,5.982035,6.014005,0.542000,1.207077,1.201732,06:01
12,5.906402,5.804811,0.594000,1.080621,1.181048,06:02
13,6.060037,6.108436,0.537000,1.255652,1.213196,06:02
14,5.994675,6.360160,0.487000,1.511052,1.212277,06:02
15,6.103921,6.061641,0.537000,1.230497,1.207786,06:01
16,5.867652,5.898090,0.594000,1.060741,1.209337,06:00
17,5.756537,5.708179,0.629000,0.927094,1.195271,06:02
18,5.741223,5.590305,0.622000,0.970432,1.154968,06:04
19,5.655319,5.630950,0.575000,1.054034,1.144229,06:00
20,5.532873,5.653942,0.611000,0.975643,1.169574,06:02
21,5.447245,5.566880,0.599000,1.034105,1.133194,06:02
22,5.658811,5.466253,0.589000,1.044587,1.105416,06:02
23,5.501533,5.456730,0.617000,0.995517,1.115304,06:10
24,5.383227,5.300169,0.627000,0.952320,1.086962,06:11
25,5.298462,5.332864,0.640000,0.902143,1.107680,06:10
26,5.382826,5.281547,0.618000,0.945599,1.083987,06:11
27,5.313140,5.525709,0.577000,1.059502,1.116552,06:10
28,5.331211,5.288654,0.637000,0.848737,1.109979,06:11
29,5.174272,5.084151,0.674000,0.794527,1.072406,06:11
30,5.149477,5.244055,0.639000,0.905904,1.084537,06:11
31,5.044453,5.129464,0.663000,0.810867,1.079649,06:10
32,4.954093,5.025916,0.674000,0.792336,1.058395,06:10
33,4.986772,4.975744,0.688000,0.797523,1.044555,06:11
34,4.878693,4.938822,0.688000,0.754442,1.046095,06:11
35,4.841875,5.030032,0.679000,0.787953,1.060520,06:11
36,4.783757,4.998827,0.676000,0.790363,1.052116,06:12
37,4.695035,4.853175,0.687000,0.826858,1.006579,06:11
38,4.545894,4.853727,0.686000,0.762965,1.022690,06:12
39,4.631126,4.934828,0.694000,0.725630,1.052300,06:07
