epoch,train_loss,valid_loss,validation,fool_loss,div_loss,time
0,1.155368,1.231075,0.785000,0.558433,0.672642,03:42
1,1.253271,1.314561,0.736000,0.673661,0.640900,03:41
2,1.093559,1.140989,0.794000,0.538084,0.602905,03:41
3,1.089224,1.159093,0.789000,0.528315,0.630777,03:41
4,1.096439,1.058297,0.789000,0.502022,0.556274,03:41
5,0.928203,1.017809,0.832000,0.436306,0.581503,03:40
6,0.830987,0.968843,0.826000,0.458205,0.510638,03:41
7,0.848434,0.933326,0.838000,0.419128,0.514197,03:41
8,0.837532,0.921409,0.833000,0.439182,0.482227,03:43
9,0.743245,0.927716,0.847000,0.407222,0.520494,03:41
10,0.875446,1.022188,0.812000,0.499547,0.522640,03:41
11,0.733295,0.915887,0.844000,0.415138,0.500749,03:41
12,0.748780,0.911831,0.851000,0.400344,0.511487,03:42
13,0.777397,0.832966,0.860000,0.365736,0.467230,03:37
14,0.775559,0.813948,0.856000,0.363915,0.450033,03:35
15,0.775917,0.844220,0.864000,0.373655,0.470565,03:39
16,0.761665,0.863382,0.848000,0.409940,0.453442,03:40
17,0.760975,0.829987,0.859000,0.383448,0.446539,03:38
18,0.783192,0.845853,0.864000,0.385211,0.460642,03:31
19,0.755420,0.834420,0.857000,0.371557,0.462863,03:32
20,0.731690,0.792278,0.870000,0.348855,0.443424,03:31
21,0.659504,0.810286,0.853000,0.395702,0.414584,03:33
22,0.709330,0.809778,0.858000,0.371016,0.438763,03:35
23,0.667315,0.843819,0.874000,0.334164,0.509656,03:40
24,0.658409,0.791511,0.868000,0.375908,0.415602,03:38
25,0.733636,0.780512,0.852000,0.359483,0.421029,03:31
26,0.626898,0.796018,0.870000,0.367009,0.429008,03:33
27,0.604861,0.757178,0.860000,0.353967,0.403211,03:30
28,0.634149,0.803985,0.862000,0.378318,0.425667,03:30
29,0.578299,0.749729,0.873000,0.340837,0.408891,03:32
30,0.739762,0.741009,0.877000,0.338459,0.402550,03:35
31,0.732455,0.784503,0.869000,0.365224,0.419279,03:36
32,0.635930,0.754140,0.865000,0.345078,0.409061,03:38
33,0.633376,0.799342,0.864000,0.378472,0.420869,03:40
34,0.624193,0.737403,0.874000,0.348734,0.388669,03:34
35,0.597756,0.759198,0.869000,0.386499,0.372699,03:29
36,0.701706,0.749372,0.874000,0.354326,0.395046,03:32
37,0.640610,0.740174,0.886000,0.327842,0.412333,03:33
38,0.628793,0.751387,0.868000,0.357151,0.394235,03:32
39,0.572686,0.763133,0.861000,0.368288,0.394846,03:31
