epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss_0,triplet_loss,time
0,6.484675,6.603043,0.661000,802,0.946450,0.557192,1.038238,06:26
1,6.239085,6.349411,0.716000,576,0.742049,0.585446,1.069967,06:24
2,6.012896,6.351116,0.711000,422,0.788913,0.562791,1.052624,06:25
3,6.247818,6.608007,0.715000,484,0.752701,0.562747,1.078512,06:23
4,6.212513,6.460710,0.733000,390,0.711930,0.566027,1.064311,06:25
5,6.315418,6.252168,0.730000,475,0.653542,0.540468,1.052138,06:28
6,5.986650,6.262525,0.732000,315,0.650308,0.569699,1.049279,06:24
7,5.935610,6.184744,0.736000,420,0.650551,0.538362,1.037528,06:26
8,6.150433,6.540987,0.725000,429,0.672047,0.546790,1.061718,06:26
9,6.268784,6.431576,0.753000,429,0.592627,0.571051,1.035477,06:26
10,6.238379,6.630941,0.742000,356,0.662677,0.556786,1.038098,06:27
11,6.627360,6.661795,0.760000,413,0.592584,0.572391,1.048284,06:28
12,6.647898,6.492095,0.767000,345,0.582658,0.556385,1.017802,06:25
13,6.242447,6.807240,0.758000,377,0.647733,0.553120,1.045344,06:24
14,6.502340,6.756387,0.763000,383,0.593949,0.533053,1.036128,06:27
15,6.596348,6.685573,0.773000,481,0.570606,0.548707,1.034936,06:28
16,6.563083,6.753512,0.755000,389,0.596150,0.545419,1.030392,06:26
17,6.838840,6.737998,0.762000,313,0.570185,0.539864,1.007858,06:27
18,6.682962,6.827616,0.759000,365,0.564441,0.530439,1.038075,06:24
19,6.640796,6.651606,0.783000,430,0.504648,0.542363,1.047896,06:23
20,6.470023,6.562579,0.769000,297,0.517575,0.528980,1.016703,06:23
21,6.841472,6.715772,0.782000,310,0.523232,0.544226,1.006574,06:24
22,6.968253,6.986688,0.788000,352,0.524743,0.546226,1.032898,06:27
23,6.785932,7.022553,0.784000,379,0.508993,0.553154,1.019283,06:26
24,6.878831,6.993742,0.778000,328,0.498133,0.559350,1.023291,06:25
25,6.927871,7.098584,0.782000,203,0.509882,0.549138,1.038250,06:23
26,6.990757,7.223417,0.797000,356,0.502009,0.570384,1.035747,06:26
27,6.922608,6.959058,0.797000,221,0.466117,0.551850,1.019156,06:24
28,6.971678,7.136505,0.799000,331,0.485790,0.567741,1.034953,06:24
29,6.990115,7.255200,0.801000,353,0.460413,0.591112,1.055974,06:26
30,6.857666,7.302848,0.797000,320,0.494875,0.564011,1.029000,06:22
31,7.206811,7.330715,0.792000,302,0.474241,0.530332,1.036158,06:27
32,7.223862,7.479609,0.798000,254,0.489047,0.551509,1.047360,06:24
33,7.182760,7.396008,0.806000,296,0.458471,0.559650,1.032845,06:26
34,6.803107,7.169368,0.807000,256,0.431901,0.561382,1.014942,06:26
35,6.978804,7.225801,0.815000,339,0.421733,0.571108,1.041617,06:23
36,7.203639,7.373685,0.809000,218,0.460439,0.541942,1.028788,06:23
37,6.930016,7.463852,0.813000,230,0.439889,0.585974,1.037642,06:24
38,7.107800,7.298958,0.817000,342,0.421783,0.567807,1.029023,06:25
39,7.092650,7.187764,0.809000,310,0.415407,0.534874,1.019342,06:16
40,7.160784,7.220438,0.811000,251,0.417334,0.554528,1.019611,06:16
41,7.084028,7.457995,0.808000,295,0.433696,0.572940,1.016508,06:15
42,7.111885,7.311893,0.809000,252,0.415513,0.549317,0.984272,06:15
43,7.409523,7.608353,0.796000,188,0.445354,0.512529,1.016854,06:14
44,7.040844,7.784067,0.801000,290,0.448408,0.545565,1.013701,06:14
45,6.940284,7.675137,0.809000,287,0.421424,0.539271,1.004332,06:13
46,7.500206,7.690696,0.820000,242,0.411265,0.548570,1.024690,06:13
47,7.072247,7.526117,0.816000,247,0.394145,0.557755,1.012921,06:14
48,7.488975,7.582329,0.827000,224,0.394603,0.562059,1.025053,06:13
49,7.154264,7.706627,0.826000,282,0.400157,0.573492,1.012983,06:13
50,7.501768,7.900072,0.827000,194,0.394923,0.592671,1.037004,06:14
51,7.437985,7.821165,0.824000,235,0.392654,0.576312,1.025905,06:13
52,7.502294,7.633538,0.816000,215,0.385903,0.559635,0.996670,06:13
53,7.423113,7.429757,0.835000,213,0.367160,0.549880,0.985649,06:15
54,7.150782,7.680622,0.827000,246,0.384413,0.555085,1.012559,06:15
55,7.191915,7.686968,0.830000,225,0.362245,0.551715,1.032156,06:15
56,7.514558,7.761970,0.831000,207,0.377490,0.547800,1.020250,06:20
57,7.305919,7.823450,0.843000,260,0.386408,0.541589,0.989687,06:20
58,7.856470,7.866414,0.831000,231,0.376026,0.517696,1.000522,06:20
59,7.565911,7.990373,0.840000,193,0.384362,0.535085,1.008616,06:21
60,7.437556,7.974693,0.826000,281,0.366182,0.564257,1.010391,06:20
61,7.449656,7.895270,0.835000,291,0.360526,0.526179,1.013063,06:20
62,7.846672,7.705013,0.839000,248,0.339369,0.543618,1.009801,06:21
63,7.461768,7.937788,0.835000,193,0.373295,0.531356,0.993029,06:20
64,7.361337,7.797472,0.853000,197,0.350733,0.537585,0.981982,06:20
65,7.267618,7.829104,0.842000,204,0.359453,0.497064,0.979308,06:21
66,7.891550,8.042407,0.845000,200,0.363440,0.518085,0.990653,06:18
67,7.433103,8.047579,0.842000,223,0.350842,0.511921,0.998039,06:19
68,7.505778,8.183823,0.828000,228,0.371616,0.503210,0.981824,06:19
69,7.855963,7.914273,0.857000,174,0.340830,0.505971,0.965918,06:21
70,7.523208,7.953307,0.836000,255,0.343613,0.486491,0.973311,06:21
71,7.899317,8.321835,0.838000,225,0.360773,0.517920,0.985910,06:21
72,7.613638,8.105870,0.845000,189,0.331059,0.514546,0.987418,06:21
73,8.013172,8.325083,0.845000,193,0.360851,0.509935,0.961446,06:21
74,7.379839,8.233780,0.852000,181,0.336062,0.506054,0.982557,06:21
75,7.789823,8.180332,0.855000,246,0.330596,0.508660,0.983983,06:19
76,8.325166,8.248142,0.853000,172,0.342126,0.500989,0.970283,06:18
77,8.224268,8.173350,0.863000,196,0.317064,0.518302,0.994278,06:18
78,7.816323,8.244683,0.847000,192,0.321632,0.514146,0.999902,06:18
79,7.715928,8.634556,0.840000,192,0.354886,0.496399,0.978755,06:18
