epoch,train_loss,valid_loss,validation,fool_loss,triplet_loss,time
0,12.074470,12.261909,0.334000,0.841879,11.420029,07:59
1,11.491691,11.241201,0.740000,0.235532,11.005669,08:00
2,10.937758,10.894088,0.761000,0.222586,10.671505,07:59
3,10.542825,10.358954,0.656000,0.353249,10.005702,07:59
4,10.036988,10.133854,0.557000,0.469725,9.664128,07:59
5,10.278402,9.672361,0.768000,0.209445,9.462915,07:59
6,10.084899,9.590530,0.811000,0.168389,9.422143,07:59
7,9.699610,9.523455,0.786000,0.198101,9.325352,07:59
8,9.682668,9.234681,0.677000,0.332275,8.902409,07:59
9,9.391227,9.221934,0.753000,0.234476,8.987457,07:58
10,9.662019,9.365624,0.790000,0.184031,9.181590,07:59
11,9.756216,9.260845,0.735000,0.249602,9.011245,07:58
12,9.231510,9.173081,0.795000,0.197586,8.975493,07:59
13,9.377078,9.815818,0.577000,0.469430,9.346386,07:59
14,8.839885,9.023565,0.858000,0.124400,8.899167,07:58
15,9.106749,8.997160,0.839000,0.154596,8.842564,07:59
16,8.740110,8.789730,0.861000,0.128775,8.660955,07:59
17,9.072782,8.977927,0.833000,0.149390,8.828537,07:59
18,8.985823,8.905885,0.846000,0.136142,8.769740,07:59
19,8.682405,8.588957,0.778000,0.214579,8.374379,07:59
20,9.027046,8.868954,0.872000,0.107214,8.761738,07:59
21,8.907378,8.449968,0.859000,0.124220,8.325747,07:58
22,8.648550,8.818936,0.815000,0.173143,8.645793,07:59
23,9.001208,8.919123,0.801000,0.185140,8.733983,07:58
24,8.775473,8.486568,0.883000,0.103025,8.383543,07:58
25,8.788311,9.034388,0.883000,0.101291,8.933098,07:59
26,8.642329,8.760970,0.868000,0.120957,8.640016,07:57
27,8.605705,8.557302,0.832000,0.154270,8.403032,07:59
28,8.670702,9.101781,0.829000,0.151526,8.950255,07:59
29,8.549925,8.434082,0.853000,0.135523,8.298559,08:00
