epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss,time
0,2.826648,2.874579,0.453000,805,1.417416,0.007950,04:18
1,2.824064,2.923385,0.443000,573,1.450278,0.004566,04:16
2,2.467902,2.671688,0.472000,576,1.319268,0.006631,04:15
3,2.182874,2.268887,0.498000,553,1.115902,0.007417,04:14
4,1.911192,2.007489,0.536000,538,0.974211,0.011814,04:14
5,1.816952,1.923493,0.544000,513,0.935063,0.010674,04:13
6,1.832171,1.929655,0.545000,498,0.935526,0.011721,04:13
7,1.925145,1.881258,0.557000,504,0.908529,0.012840,04:13
8,1.587821,1.812212,0.592000,495,0.873410,0.013078,04:14
9,1.545379,1.777158,0.608000,455,0.851903,0.014670,04:14
10,1.862796,1.764357,0.610000,442,0.843384,0.015518,04:14
11,1.713420,1.729019,0.619000,445,0.825251,0.015704,04:13
12,1.649451,1.707071,0.624000,436,0.807322,0.018485,04:13
13,1.544281,1.645140,0.633000,432,0.781196,0.016550,04:13
14,1.703864,1.619156,0.638000,420,0.761027,0.019421,04:15
15,1.525256,1.564707,0.662000,406,0.723696,0.023463,04:13
16,1.470968,1.533583,0.665000,387,0.706377,0.024166,04:14
17,1.456687,1.513003,0.673000,371,0.692957,0.025418,04:13
18,1.369822,1.495957,0.682000,374,0.676540,0.028575,04:13
19,1.449674,1.425487,0.722000,355,0.631156,0.032635,04:14
20,1.487698,1.350117,0.732000,326,0.599596,0.030185,04:13
21,1.351322,1.329417,0.741000,307,0.587472,0.030895,04:14
22,1.353065,1.301093,0.752000,300,0.570248,0.032119,04:14
23,1.276694,1.302405,0.760000,283,0.562125,0.035631,04:14
24,1.178753,1.262745,0.767000,279,0.540524,0.036339,04:14
25,1.208988,1.246118,0.766000,267,0.538312,0.033899,04:14
26,1.203860,1.242084,0.767000,264,0.536402,0.033856,04:14
27,1.327156,1.255793,0.765000,266,0.534669,0.037291,04:13
28,1.251728,1.204619,0.771000,265,0.531538,0.028308,04:14
29,1.188511,1.206175,0.784000,260,0.523865,0.031689,04:13
