epoch,train_loss,valid_loss,validation,fool_loss,time
0,10.335776,10.801559,0.636000,10.801560,04:26
1,10.102630,10.352850,0.658000,10.352847,04:24
2,10.100538,10.346064,0.664000,10.346063,04:24
3,9.812670,10.260842,0.664000,10.260841,04:24
4,10.016170,10.207240,0.677000,10.207242,04:34
5,10.050817,10.170381,0.680000,10.170380,04:25
6,9.626651,10.010621,0.678000,10.010619,04:24
7,9.807662,9.988625,0.687000,9.988626,04:25
8,9.697438,9.855325,0.692000,9.855326,04:35
9,9.659896,9.883226,0.692000,9.883228,04:22
10,9.401132,9.603305,0.697000,9.603304,04:22
11,9.448227,9.772256,0.688000,9.772257,04:25
12,9.397808,9.610736,0.683000,9.610736,04:23
13,9.325336,9.566725,0.692000,9.566724,04:23
14,9.171791,9.439420,0.665000,9.439419,04:24
15,9.283400,9.389229,0.696000,9.389231,04:23
16,8.885471,9.264567,0.684000,9.264567,04:24
17,9.032616,9.068766,0.700000,9.068766,04:25
18,8.970906,9.097120,0.706000,9.097120,04:24
19,8.853176,8.924201,0.708000,8.924199,04:26
20,8.775675,9.006590,0.716000,9.006590,04:34
21,8.861321,8.994604,0.703000,8.994603,04:26
22,8.760437,8.704942,0.705000,8.704942,04:26
23,8.684999,8.771898,0.713000,8.771896,04:24
24,8.519566,8.647058,0.721000,8.647055,04:25
25,8.183599,8.679186,0.704000,8.679187,04:26
26,8.535300,8.738126,0.716000,8.738128,04:26
27,8.318587,8.564631,0.722000,8.564631,04:25
28,8.520387,8.542699,0.732000,8.542698,04:25
29,8.403891,8.507715,0.726000,8.507716,04:25
30,8.417822,8.483397,0.729000,8.483397,04:25
31,8.379559,8.525269,0.711000,8.525268,04:25
32,8.338285,8.457700,0.741000,8.457699,04:25
33,8.201674,8.425343,0.722000,8.425343,04:24
34,8.241510,8.402662,0.720000,8.402663,04:23
35,8.074537,8.299647,0.724000,8.299647,04:24
36,7.980568,8.183245,0.736000,8.183244,04:26
37,8.071890,8.194461,0.737000,8.194461,04:25
38,8.008517,8.119536,0.712000,8.119536,04:26
39,8.109015,8.145799,0.735000,8.145799,04:24
40,7.944340,8.089876,0.739000,8.089876,04:25
41,7.635857,8.052102,0.734000,8.052104,04:25
42,7.788550,8.070779,0.723000,8.070780,04:25
43,8.013635,8.183619,0.726000,8.183619,04:24
44,7.921148,8.025890,0.722000,8.025890,04:26
45,7.799227,7.919861,0.724000,7.919861,04:26
46,7.517477,7.924306,0.726000,7.924305,04:24
47,7.759650,7.825874,0.737000,7.825875,04:26
48,7.712269,7.941725,0.743000,7.941725,04:25
49,7.496468,7.802974,0.737000,7.802976,04:25
50,7.486005,7.805921,0.715000,7.805920,04:24
51,7.580788,7.795581,0.731000,7.795580,04:25
52,7.638223,7.758421,0.729000,7.758421,04:25
53,7.521121,7.633540,0.737000,7.633541,04:25
54,7.548162,7.715331,0.743000,7.715333,04:25
55,7.262801,7.601241,0.726000,7.601241,04:24
56,7.374109,7.614019,0.725000,7.614018,04:24
57,7.276871,7.486111,0.741000,7.486110,04:33
58,7.347770,7.723093,0.737000,7.723094,04:34
59,7.365312,7.593900,0.723000,7.593900,04:33
60,7.487797,7.559807,0.726000,7.559806,04:33
61,7.178168,7.568385,0.728000,7.568385,04:33
62,7.481473,7.522115,0.733000,7.522115,04:35
63,7.253024,7.443161,0.747000,7.443161,04:33
64,7.397661,7.533188,0.731000,7.533189,04:28
65,7.340857,7.604659,0.735000,7.604660,04:33
66,7.180173,7.491765,0.723000,7.491764,04:25
67,7.111363,7.292942,0.729000,7.292941,04:24
68,7.321325,7.359451,0.732000,7.359451,04:29
69,7.297090,7.373048,0.746000,7.373047,04:32
