epoch,train_loss,valid_loss,validation,fool_loss,triplet_loss,time
0,3.890011,3.930378,0.834000,0.446433,0.870987,05:58
1,3.801831,3.750175,0.859000,0.358906,0.847817,05:58
2,3.959116,3.943593,0.829000,0.471687,0.867976,05:58
3,3.805490,3.809772,0.830000,0.461519,0.837063,05:58
4,3.720795,3.696847,0.854000,0.388556,0.827073,05:58
5,3.807220,3.889637,0.829000,0.442843,0.861698,05:59
6,3.821901,3.734036,0.838000,0.446582,0.821864,05:58
7,3.787763,3.616767,0.857000,0.344003,0.818191,05:56
8,3.802793,3.800823,0.830000,0.453564,0.836815,05:59
9,3.843856,3.720347,0.840000,0.424092,0.824064,05:58
10,3.758825,3.748518,0.841000,0.457223,0.822824,05:59
11,3.798908,3.806713,0.838000,0.403191,0.850881,05:59
12,3.820286,3.722911,0.842000,0.455199,0.816928,05:58
13,3.690840,3.558544,0.879000,0.335324,0.805805,05:57
14,3.935746,3.803832,0.850000,0.401577,0.850564,05:57
15,3.853818,3.733992,0.844000,0.421754,0.828060,05:58
16,3.732010,3.655070,0.855000,0.380207,0.818716,05:58
17,3.717344,3.754247,0.849000,0.416648,0.834400,05:59
18,3.725712,3.762048,0.856000,0.434335,0.831929,05:58
19,3.679734,3.767083,0.851000,0.379790,0.846823,05:59
20,3.750854,3.792699,0.834000,0.433413,0.839821,05:59
21,3.646362,3.875462,0.831000,0.461107,0.853589,05:57
22,3.789564,3.635845,0.847000,0.385831,0.812503,05:58
23,3.755665,3.742943,0.838000,0.423048,0.829974,05:59
24,3.763171,3.749746,0.861000,0.388096,0.840412,05:58
25,3.887639,3.539493,0.858000,0.354162,0.796333,05:57
26,3.786702,3.555207,0.859000,0.388013,0.791799,05:58
27,3.650992,3.743810,0.846000,0.392939,0.837718,05:57
28,3.650601,3.765917,0.863000,0.376706,0.847303,05:57
29,3.684893,3.787468,0.842000,0.421387,0.841520,05:58
30,3.795657,3.629980,0.873000,0.331048,0.824733,05:58
31,3.755453,3.612032,0.852000,0.357782,0.813563,05:58
32,3.633138,3.752517,0.873000,0.363737,0.847195,05:59
33,3.770255,3.617731,0.879000,0.315074,0.825664,05:59
34,3.634593,3.688032,0.867000,0.349494,0.834635,06:00
35,3.707170,3.799684,0.850000,0.392436,0.851812,06:00
36,3.923825,3.797356,0.846000,0.385846,0.852878,06:00
37,3.802171,3.657650,0.857000,0.351182,0.826617,05:59
38,3.900252,3.953458,0.840000,0.396208,0.889313,05:58
39,3.921367,3.773595,0.859000,0.367401,0.851548,05:58
