epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,entropy,fool_loss,time
0,8.950861,8.923883,0.531000,0.000000,549.750000,8.754615,8.923883,03:44
1,8.847251,8.851829,0.547000,0.001000,543.750000,8.801864,8.851828,03:57
2,8.715371,8.726822,0.553000,0.000000,535.000000,8.755080,8.726823,03:59
3,8.666132,8.700654,0.578000,0.001000,580.000000,8.947218,8.700654,03:57
4,8.621987,8.619353,0.556000,0.000000,524.250000,7.943778,8.619353,03:57
5,8.521744,8.652163,0.569000,0.001000,595.250000,8.622058,8.652163,03:58
6,8.502504,8.556232,0.581000,0.000000,562.000000,8.238501,8.556231,03:56
7,8.513547,8.531239,0.567000,0.001000,562.000000,8.445986,8.531239,03:58
8,8.503279,8.555864,0.574000,0.000000,577.250000,8.421114,8.555864,03:57
9,8.486061,8.492256,0.571000,0.002000,542.000000,8.192093,8.492255,04:08
10,8.362780,8.370890,0.575000,0.001000,602.750000,8.725744,8.370890,04:28
11,8.336108,8.426497,0.570000,0.000000,683.250000,9.228667,8.426497,04:07
12,8.311660,8.390516,0.589000,0.000000,677.750000,9.279857,8.390516,04:26
13,8.282610,8.341032,0.596000,0.000000,671.500000,9.298578,8.341031,04:07
14,8.230992,8.313272,0.599000,0.002000,693.750000,9.399035,8.313272,04:14
15,8.222673,8.263302,0.603000,0.000000,701.750000,9.449617,8.263303,04:14
16,8.196762,8.242669,0.587000,0.001000,723.250000,9.540344,8.242669,04:22
17,8.163325,8.191513,0.587000,0.007000,711.500000,9.478462,8.191512,04:13
18,8.153324,8.217787,0.604000,0.000000,682.500000,9.346268,8.217787,04:15
19,8.162685,8.126679,0.616000,0.002000,732.250000,9.570758,8.126679,04:11
20,8.076498,8.137795,0.603000,0.002000,732.000000,9.569779,8.137795,04:12
21,8.044285,8.025593,0.634000,0.003000,713.500000,9.497191,8.025593,05:14
22,7.933381,7.955523,0.682000,0.003000,721.250000,9.497358,7.955523,04:37
23,7.859529,7.800165,0.702000,0.006000,679.000000,9.265874,7.800166,04:48
24,7.822066,7.859402,0.692000,0.000000,733.000000,9.573359,7.859402,05:09
25,7.798272,7.780886,0.707000,0.002000,725.500000,9.538376,7.780885,04:11
26,7.737017,7.823108,0.722000,0.002000,723.250000,9.510614,7.823108,05:01
27,7.744313,7.799349,0.714000,0.003000,726.500000,9.529987,7.799350,04:45
28,7.693452,7.828089,0.712000,0.003000,714.500000,9.481825,7.828089,04:45
29,7.736303,7.779160,0.728000,0.001000,721.750000,9.514341,7.779160,04:58
30,7.732212,7.764173,0.735000,0.004000,721.000000,9.522129,7.764172,04:23
31,7.666522,7.743954,0.733000,0.006000,714.500000,9.523823,7.743954,05:01
32,7.690601,7.728601,0.717000,0.005000,709.000000,9.511998,7.728601,04:44
33,7.675400,7.718588,0.712000,0.004000,692.000000,9.447474,7.718589,04:36
34,7.705044,7.754496,0.714000,0.004000,697.250000,9.464710,7.754496,05:07
35,7.656996,7.677730,0.725000,0.001000,690.750000,9.430198,7.677730,04:35
36,7.626347,7.700130,0.718000,0.001000,704.500000,9.480456,7.700131,04:49
37,7.579587,7.673987,0.721000,0.006000,700.500000,9.466917,7.673987,04:32
38,7.568182,7.696048,0.719000,0.003000,711.250000,9.511822,7.696048,04:30
39,7.553106,7.634153,0.720000,0.004000,703.250000,9.476882,7.634153,05:05
