epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss,time
0,5.804379,6.071239,0.560000,807.250000,1.180983,2.528290,05:37
1,5.737497,5.651329,0.627000,467.000000,1.042578,2.523594,05:34
2,5.343431,5.581724,0.638000,397.750000,1.010541,2.550102,05:35
3,5.429296,5.528463,0.652000,384.000000,1.004411,2.515229,05:37
4,5.179765,5.438075,0.657000,368.500000,0.974202,2.515469,05:36
5,5.234446,5.477950,0.662000,366.750000,0.964718,2.583795,05:36
6,5.065498,5.366141,0.674000,367.750000,0.937212,2.554503,05:37
7,4.993763,5.121913,0.696000,352.000000,0.868813,2.515473,05:38
8,4.517351,4.727676,0.715000,333.500000,0.728277,2.542845,05:40
9,4.448887,4.690315,0.722000,320.750000,0.705230,2.574625,05:38
10,4.546614,4.621417,0.736000,315.750000,0.699805,2.522000,05:37
11,4.494963,4.607039,0.735000,306.750000,0.684424,2.553768,05:37
12,4.260228,4.558016,0.731000,308.500000,0.679472,2.519603,05:39
13,4.137546,4.225687,0.760000,305.250000,0.570111,2.515353,05:36
14,4.038159,4.037896,0.785000,279.500000,0.495712,2.550759,05:40
15,3.699043,3.859499,0.798000,254.750000,0.462884,2.470849,05:37
16,3.231748,3.471029,0.799000,235.250000,0.465390,2.074860,05:40
17,3.002136,3.156529,0.807000,246.000000,0.441439,1.699780,05:40
18,2.683121,2.912395,0.826000,240.250000,0.411413,1.554733,05:37
19,2.559156,2.750621,0.845000,227.500000,0.360468,1.561078,05:40
20,2.504597,2.785078,0.840000,199.000000,0.379630,1.532299,05:39
21,2.552112,2.852176,0.848000,204.000000,0.378175,1.490747,05:37
22,2.468014,2.690710,0.855000,191.500000,0.347324,1.440343,05:38
23,2.306194,2.672696,0.854000,184.250000,0.335647,1.464366,05:37
24,2.286475,2.687349,0.860000,182.000000,0.333924,1.485221,05:41
25,2.631288,2.708202,0.855000,171.750000,0.349766,1.449047,05:39
26,2.461373,2.681382,0.861000,194.750000,0.325326,1.412610,05:42
27,2.495262,2.711009,0.862000,169.250000,0.337201,1.395927,05:42
28,2.389108,2.715378,0.874000,175.250000,0.330445,1.327508,05:37
29,2.522681,2.760419,0.865000,161.250000,0.327194,1.386206,05:36
30,2.457072,2.630656,0.874000,163.250000,0.305562,1.347296,05:36
31,2.330910,2.513175,0.882000,153.500000,0.282947,1.324798,05:36
32,2.384599,2.690951,0.875000,147.750000,0.316411,1.362024,05:36
33,2.311977,2.640660,0.870000,155.500000,0.311963,1.236825,05:37
34,2.261256,2.711717,0.878000,146.000000,0.290388,1.404972,05:35
35,2.393911,2.624569,0.886000,140.750000,0.271036,1.404906,05:36
36,2.330518,2.486551,0.882000,129.500000,0.276216,1.243581,05:36
37,2.260116,2.589136,0.894000,134.750000,0.268511,1.300281,05:36
38,2.391211,2.500390,0.884000,136.500000,0.254216,1.280154,05:38
39,2.350343,2.587438,0.888000,136.500000,0.256190,1.357726,05:36
40,2.441919,2.712134,0.882000,136.250000,0.282537,1.271195,05:36
