epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,time
0,0.675827,0.707760,0.846000,0.155562,0.552198,07:09
1,0.601783,0.703290,0.824000,0.171403,0.531887,07:10
2,0.602085,0.722704,0.822000,0.173911,0.548793,07:10
3,0.618569,0.715202,0.816000,0.181728,0.533473,07:09
4,0.609680,0.668333,0.822000,0.180787,0.487546,07:10
5,0.584210,0.689406,0.804000,0.188737,0.500669,07:09
6,0.568923,0.662425,0.831000,0.163634,0.498791,07:09
7,0.586270,0.703211,0.806000,0.187515,0.515696,07:09
8,0.609924,0.706762,0.814000,0.175874,0.530887,07:09
9,0.548154,0.649847,0.819000,0.176828,0.473019,07:18
10,0.597363,0.691885,0.783000,0.208800,0.483085,07:50
11,0.545326,0.676869,0.781000,0.225120,0.451749,07:50
12,0.549831,0.637858,0.831000,0.163502,0.474356,07:54
13,0.546962,0.675322,0.824000,0.173626,0.501695,07:53
14,0.574911,0.648873,0.822000,0.176433,0.472441,07:49
15,0.568232,0.673475,0.789000,0.210678,0.462796,07:48
16,0.569525,0.642138,0.839000,0.156072,0.486066,07:51
17,0.551160,0.626734,0.826000,0.158382,0.468351,07:50
18,0.568167,0.647221,0.802000,0.201061,0.446161,07:51
19,0.571682,0.668008,0.786000,0.202987,0.465021,07:49
20,0.553854,0.604549,0.814000,0.181957,0.422593,07:51
21,0.515857,0.635314,0.807000,0.193267,0.442047,07:51
22,0.506196,0.648769,0.806000,0.192713,0.456056,07:49
23,0.507312,0.657883,0.791000,0.203725,0.454158,07:49
24,0.550752,0.645218,0.830000,0.158969,0.486249,07:49
25,0.518202,0.622201,0.814000,0.182938,0.439263,07:50
26,0.490750,0.609181,0.829000,0.159156,0.450026,07:47
27,0.554194,0.623427,0.796000,0.201482,0.421945,07:50
28,0.551794,0.613205,0.817000,0.173727,0.439478,07:53
29,0.566901,0.609385,0.842000,0.153737,0.455647,07:51
30,0.542675,0.628687,0.794000,0.195640,0.433047,07:49
31,0.556998,0.618135,0.832000,0.154992,0.463143,07:52
32,0.529649,0.606378,0.815000,0.178969,0.427408,07:54
33,0.507300,0.599584,0.819000,0.172957,0.426627,07:51
34,0.575244,0.625676,0.834000,0.162105,0.463571,07:49
35,0.538508,0.601976,0.821000,0.172488,0.429488,07:51
36,0.543016,0.599407,0.825000,0.177266,0.422141,07:52
37,0.525506,0.614076,0.834000,0.171049,0.443027,07:53
38,0.525028,0.585076,0.838000,0.163468,0.421608,07:55
39,0.542631,0.583668,0.800000,0.196880,0.386788,07:50
40,0.528603,0.566986,0.811000,0.183432,0.383553,07:51
41,0.497451,0.636281,0.814000,0.183281,0.452999,07:52
42,0.509454,0.609885,0.805000,0.192557,0.417328,07:52
43,0.456974,0.616402,0.789000,0.203034,0.413368,07:49
44,0.490499,0.603920,0.850000,0.148221,0.455699,07:52
45,0.507094,0.615433,0.810000,0.187274,0.428160,07:50
46,0.519620,0.608597,0.809000,0.184208,0.424389,07:53
47,0.518806,0.614611,0.821000,0.178014,0.436597,07:51
48,0.495267,0.646117,0.857000,0.141276,0.504841,07:51
49,0.459142,0.593004,0.797000,0.197557,0.395447,07:49
