epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,triplet_loss,time
0,11.199986,10.625738,0.750000,0.608054,0.544512,9.473171,06:19
1,10.998257,10.355883,0.753000,0.631804,0.519227,9.204851,06:20
2,10.738313,10.330409,0.744000,0.649020,0.513819,9.167572,06:20
3,10.771702,10.269095,0.764000,0.605297,0.505971,9.157825,06:20
4,10.539596,10.424112,0.736000,0.660781,0.484313,9.279016,06:20
5,10.683688,10.271569,0.730000,0.665314,0.469455,9.136799,06:19
6,10.530438,10.260881,0.735000,0.708394,0.461896,9.090590,06:20
7,10.781331,10.338319,0.783000,0.534128,0.548173,9.256019,06:18
8,10.779511,10.227278,0.728000,0.673301,0.456630,9.097343,06:19
9,10.497466,10.195837,0.773000,0.546824,0.523601,9.125411,06:19
10,10.553515,10.163094,0.766000,0.609126,0.487832,9.066135,06:19
11,10.508499,10.368278,0.756000,0.638853,0.484150,9.245275,06:20
12,10.501452,10.230946,0.763000,0.598731,0.474077,9.158141,06:20
13,10.473739,10.280680,0.751000,0.625950,0.464117,9.190610,06:20
14,10.594904,10.227199,0.769000,0.566109,0.489799,9.171289,06:20
15,10.592196,10.159225,0.749000,0.619233,0.494503,9.045490,06:20
16,10.305321,10.093413,0.741000,0.687691,0.463350,8.942371,06:20
17,10.434195,10.052926,0.750000,0.665627,0.475374,8.911924,06:20
18,10.685794,10.295509,0.740000,0.678457,0.458092,9.158960,06:20
19,10.439634,10.186605,0.743000,0.656146,0.454066,9.076393,06:21
20,10.446582,10.249241,0.760000,0.633949,0.464560,9.150732,06:18
21,10.400932,10.296736,0.735000,0.653842,0.455255,9.187639,06:20
22,10.517092,10.109770,0.730000,0.649379,0.452662,9.007729,06:20
23,10.418677,10.147083,0.765000,0.619992,0.484614,9.042476,06:21
24,10.319917,10.103296,0.754000,0.585410,0.473188,9.044696,06:20
25,10.483130,10.463881,0.778000,0.589442,0.500499,9.373940,06:19
26,10.336429,10.256013,0.762000,0.654534,0.467731,9.133749,06:20
27,10.199590,10.318878,0.746000,0.750388,0.439122,9.129366,06:19
28,10.267376,10.271054,0.758000,0.625952,0.462477,9.182629,06:20
29,10.463570,10.029142,0.773000,0.549046,0.501315,8.978782,06:19
30,10.061039,10.203266,0.743000,0.647596,0.454847,9.100826,06:20
31,10.124969,10.247103,0.771000,0.609544,0.436086,9.201475,06:20
32,10.103727,10.140375,0.755000,0.612417,0.452547,9.075412,06:18
33,10.179561,10.066259,0.768000,0.578001,0.438629,9.049630,06:19
34,10.019038,10.129281,0.784000,0.540401,0.441302,9.147580,06:20
35,10.284929,10.281336,0.761000,0.627485,0.462698,9.191152,06:19
36,10.556030,10.102426,0.750000,0.670976,0.449752,8.981696,06:19
37,10.198197,10.173151,0.747000,0.640220,0.458455,9.074476,06:20
38,10.150285,10.311669,0.774000,0.535995,0.480602,9.295073,06:19
39,10.041625,10.014439,0.741000,0.679701,0.438567,8.896170,06:20
40,10.129450,9.967854,0.765000,0.564349,0.452437,8.951069,06:20
41,10.023653,9.859724,0.758000,0.586053,0.433538,8.840132,06:21
42,10.034935,10.290477,0.744000,0.649517,0.425861,9.215100,06:20
43,10.259728,9.976236,0.761000,0.579042,0.445989,8.951208,06:21
44,10.254965,10.129871,0.768000,0.611933,0.433517,9.084421,06:20
45,10.197857,10.018108,0.746000,0.685496,0.417285,8.915330,06:21
46,10.172312,10.106368,0.720000,0.757303,0.427188,8.921878,06:20
47,10.027045,9.939934,0.762000,0.630583,0.406933,8.902418,06:20
48,10.127663,9.952522,0.741000,0.633870,0.437267,8.881384,06:20
49,10.131816,9.938445,0.770000,0.576885,0.434393,8.927167,06:21
50,10.290089,10.375541,0.798000,0.503006,0.472717,9.399819,06:20
51,10.294870,10.212492,0.772000,0.607241,0.454917,9.150335,06:20
52,9.966693,9.919508,0.766000,0.580692,0.417670,8.921146,06:20
53,10.054926,10.081013,0.760000,0.611506,0.432480,9.037026,06:20
54,10.135824,9.854949,0.741000,0.636009,0.421244,8.797695,06:21
55,10.159105,10.043926,0.746000,0.643805,0.431022,8.969098,06:21
56,10.323166,10.125253,0.754000,0.619954,0.433599,9.071701,06:21
57,10.031648,9.970282,0.760000,0.571714,0.439775,8.958793,06:21
58,10.060700,10.044867,0.777000,0.538823,0.461212,9.044829,06:21
59,10.036848,9.626000,0.785000,0.538090,0.437990,8.649920,06:21
60,10.087788,10.078464,0.803000,0.499565,0.499042,9.079859,06:22
61,10.020133,9.847576,0.758000,0.592686,0.477177,8.777711,06:21
62,10.155743,9.963668,0.741000,0.658200,0.448897,8.856574,06:21
