epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,time
0,5.731645,5.887307,0.416000,1.661762,0.845109,03:36
1,5.443000,5.518697,0.433000,1.574183,0.788903,03:40
2,5.152027,5.257284,0.468000,1.476731,0.756111,03:39
3,5.064435,5.176612,0.479000,1.442317,0.746859,03:41
4,4.982512,5.069155,0.515000,1.410555,0.731720,03:39
5,4.583902,4.724607,0.585000,1.164902,0.711941,03:38
6,4.498644,4.501549,0.601000,1.119494,0.676411,03:38
7,4.167658,4.240702,0.639000,0.950002,0.658140,03:39
8,3.921118,4.144140,0.651000,0.931761,0.642476,03:41
9,3.758392,3.904750,0.664000,0.914261,0.598098,03:37
10,3.520579,3.800588,0.698000,0.805623,0.598993,03:38
11,3.430934,3.554155,0.686000,0.791724,0.552486,03:37
12,3.289148,3.506519,0.698000,0.790648,0.543174,03:36
13,3.120892,3.379516,0.709000,0.785670,0.518769,03:35
14,3.382160,3.592621,0.774000,0.565274,0.605469,03:35
15,2.989732,3.285433,0.726000,0.698920,0.517303,03:35
16,2.987508,3.307740,0.693000,0.811882,0.499172,03:32
17,3.021736,3.320821,0.708000,0.812092,0.501746,03:35
18,3.023347,3.156381,0.730000,0.743075,0.482661,03:33
19,2.819703,3.205436,0.716000,0.741983,0.492691,03:34
20,3.062645,3.359355,0.684000,0.787932,0.514284,03:32
21,2.873619,3.242530,0.740000,0.742753,0.499956,03:33
22,2.892984,3.090686,0.754000,0.641533,0.489831,03:32
23,2.784454,3.212940,0.709000,0.728632,0.496862,03:37
24,2.816824,3.147835,0.753000,0.689712,0.491625,03:38
25,2.791887,3.133568,0.752000,0.609031,0.504907,03:36
26,2.808791,2.939014,0.740000,0.615120,0.464779,03:35
27,2.688946,2.985511,0.736000,0.628640,0.471374,03:37
28,2.738552,2.934705,0.769000,0.529157,0.481110,03:35
29,2.811522,2.924874,0.766000,0.613615,0.462252,03:36
