epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss_0,triplet_loss,time
0,6.932218,7.334218,0.685000,714,0.855348,0.555206,1.053242,06:18
1,6.843764,7.135649,0.715000,590,0.789178,0.558288,1.052457,06:18
2,6.596306,6.923384,0.726000,483,0.705245,0.581900,1.056437,06:17
3,6.608743,6.784353,0.743000,457,0.622308,0.620807,1.074155,06:17
4,6.637566,6.804119,0.747000,431,0.652694,0.580830,1.066301,06:18
5,6.574133,6.761570,0.733000,425,0.678051,0.554664,1.043188,06:18
6,6.433739,6.672123,0.746000,475,0.631162,0.578661,1.049994,06:17
7,6.490179,6.542606,0.755000,411,0.597773,0.555309,1.048494,06:17
8,6.324584,6.650738,0.752000,330,0.614749,0.567408,1.059771,06:18
9,6.420091,6.697239,0.751000,385,0.664367,0.556750,1.036847,06:17
10,6.311892,6.500459,0.746000,453,0.584288,0.541289,1.051576,06:17
11,6.342481,6.496697,0.753000,399,0.629822,0.533076,1.018539,06:18
12,6.225978,6.724455,0.743000,453,0.693182,0.545097,1.024953,06:18
13,6.100830,6.370303,0.747000,432,0.572321,0.547666,1.026418,06:19
14,6.244208,6.472781,0.762000,421,0.573588,0.551933,1.050022,06:18
15,6.309135,6.370592,0.736000,443,0.582037,0.519804,1.026169,06:18
16,6.382128,6.556772,0.748000,392,0.601573,0.549155,1.050724,06:18
17,6.293611,6.397663,0.764000,380,0.572106,0.549625,1.032930,06:18
18,6.123464,6.351629,0.769000,373,0.580148,0.542641,1.017136,06:18
19,6.219077,6.388749,0.762000,419,0.594760,0.548853,1.013904,06:18
20,6.261570,6.291960,0.776000,382,0.553429,0.533113,1.024640,06:18
21,6.388957,6.421786,0.762000,459,0.616959,0.543516,1.006848,06:16
22,6.220136,6.294834,0.764000,395,0.574140,0.518182,1.013558,06:14
23,6.225353,6.416346,0.761000,411,0.593805,0.532648,1.025571,06:13
24,6.320420,6.346677,0.770000,418,0.579534,0.524638,1.020859,06:14
25,6.031044,6.285752,0.771000,399,0.551307,0.514359,1.029368,06:14
26,6.188413,6.288512,0.765000,386,0.572957,0.526601,1.010760,06:14
27,6.086287,6.169520,0.775000,359,0.564552,0.512718,0.990786,06:15
28,6.147043,6.075065,0.769000,361,0.532329,0.515823,0.990564,06:14
29,6.098830,6.166693,0.780000,411,0.543797,0.503393,1.007978,06:14
