epoch,train_loss,valid_loss,validation,div_metric,div_loss,time
0,-0.385625,-0.355679,0.376000,807.000000,-0.355679,05:43
1,-0.440136,-0.413145,0.469000,800.500000,-0.413146,05:44
2,-0.470047,-0.437733,0.468000,699.750000,-0.437733,05:45
3,-0.508431,-0.467670,0.545000,721.500000,-0.467670,05:55
4,-0.536724,-0.497994,0.580000,664.000000,-0.497994,05:55
5,-0.560998,-0.500504,0.580000,621.750000,-0.500504,05:55
6,-0.556915,-0.516687,0.601000,697.250000,-0.516687,05:55
7,-0.561622,-0.548723,0.525000,725.000000,-0.548723,05:55
8,-0.567073,-0.536980,0.584000,789.750000,-0.536979,05:55
9,-0.587253,-0.486522,0.451000,699.000000,-0.486522,05:55
