epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss_0,triplet_loss,time
0,5.788197,5.775281,0.630000,726,1.071712,0.542850,1.040180,06:05
1,5.542184,5.657782,0.643000,642,0.934879,0.563994,1.039727,06:05
2,5.537683,5.725484,0.650000,562,0.940858,0.544729,1.059974,06:05
3,5.404316,5.484323,0.702000,589,0.812535,0.514742,1.039262,06:05
4,5.430278,5.430701,0.713000,524,0.792637,0.530393,1.026918,06:06
5,5.437450,5.417352,0.700000,507,0.755477,0.531724,1.032538,06:06
6,5.250024,5.368151,0.722000,505,0.730381,0.504543,1.033307,06:07
7,5.356321,5.455416,0.719000,504,0.766182,0.546133,1.035775,06:06
8,5.317563,5.451331,0.707000,495,0.812576,0.514959,1.030949,06:10
9,5.323394,5.329596,0.700000,433,0.769669,0.516224,1.010926,06:12
10,5.195616,5.218873,0.720000,506,0.747054,0.521921,0.987474,06:10
11,5.197386,5.196961,0.720000,496,0.727517,0.521031,0.987103,06:11
12,5.203674,5.241702,0.703000,451,0.753804,0.495484,0.998104,06:10
13,5.189145,5.370582,0.705000,382,0.723521,0.508842,1.034555,06:10
14,5.057004,5.213055,0.719000,433,0.741611,0.497477,0.993492,06:11
15,5.022013,5.270066,0.725000,502,0.728776,0.498978,1.010578,06:11
16,5.042696,5.209239,0.729000,458,0.719917,0.501537,0.996946,06:10
17,5.210233,5.183301,0.738000,374,0.668242,0.497696,1.004341,06:10
18,5.065922,5.091845,0.728000,458,0.691497,0.466005,0.983586,06:10
19,5.049998,5.206375,0.722000,378,0.764299,0.489993,0.988021,06:10
20,5.095678,5.125191,0.740000,456,0.657807,0.479039,0.997086,06:10
21,5.103125,5.213066,0.731000,419,0.713365,0.493139,1.001641,06:12
22,5.083224,5.087068,0.738000,434,0.687102,0.488354,0.977903,06:11
23,4.975526,5.131172,0.730000,363,0.664175,0.483120,0.995969,06:11
24,5.066613,5.011333,0.736000,446,0.701733,0.478266,0.957834,06:11
25,4.985743,5.103812,0.715000,450,0.691615,0.481965,0.982558,06:10
26,4.952355,5.075179,0.729000,457,0.722083,0.474258,0.969710,06:11
27,5.109251,5.143598,0.732000,403,0.701924,0.476932,0.991185,06:10
28,5.135232,5.121984,0.730000,488,0.689159,0.501405,0.982855,06:10
29,5.062118,4.943711,0.749000,397,0.652966,0.463194,0.956888,06:10
