epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,time
0,4.097387,4.165956,0.436000,1.533826,0.877377,03:40
1,3.824614,3.866535,0.460000,1.418142,0.816131,03:40
2,2.513303,2.609458,0.697000,0.749519,0.619980,03:37
3,2.034140,2.263419,0.756000,0.619274,0.548048,03:33
4,1.993638,2.099557,0.777000,0.534848,0.521570,03:40
5,1.759212,1.958990,0.808000,0.456311,0.500893,03:41
6,1.618401,1.859035,0.808000,0.455894,0.467714,03:35
7,1.580486,1.832106,0.822000,0.407001,0.475035,03:31
8,1.559645,1.689302,0.811000,0.394069,0.431744,03:32
9,1.566435,1.655092,0.824000,0.389793,0.421766,03:32
10,1.436607,1.658740,0.816000,0.390567,0.422724,03:31
11,1.477268,1.694281,0.824000,0.386953,0.435776,03:32
12,1.442486,1.643626,0.818000,0.395233,0.416131,03:31
13,1.514204,1.627451,0.803000,0.386734,0.413572,03:32
14,1.428446,1.636951,0.839000,0.351111,0.428613,03:31
15,1.506995,1.633307,0.836000,0.331866,0.433814,03:32
16,1.460858,1.527520,0.865000,0.312778,0.404914,03:31
17,1.356414,1.540353,0.857000,0.330415,0.403312,03:31
18,1.393054,1.507575,0.852000,0.324668,0.394303,03:32
19,1.367837,1.527625,0.835000,0.355312,0.390771,03:39
20,1.323996,1.528248,0.833000,0.378103,0.383382,03:33
21,1.301689,1.474010,0.844000,0.355041,0.372990,03:41
22,1.356428,1.468696,0.851000,0.344857,0.374613,03:32
23,1.273095,1.362626,0.846000,0.337725,0.341634,03:33
24,1.285422,1.447750,0.833000,0.378582,0.356389,03:33
25,1.289570,1.422223,0.857000,0.300350,0.373958,03:33
26,1.230046,1.432537,0.851000,0.325871,0.368889,03:34
27,1.242102,1.465752,0.840000,0.380146,0.361869,03:34
28,1.283138,1.359016,0.864000,0.297534,0.353827,03:33
29,1.254563,1.339831,0.854000,0.315791,0.341347,03:33
