epoch,train_loss,valid_loss,validation,div_metric,div_loss,time
0,-1.710647,-1.672020,0.575000,814.250000,-0.418005,05:37
1,-2.102567,-1.931876,0.633000,629.750000,-0.482969,05:38
2,-2.211837,-2.126937,0.496000,617.250000,-0.531734,05:40
3,-2.397172,-2.365396,0.621000,761.000000,-0.591349,05:40
4,-2.587945,-2.442246,0.643000,574.250000,-0.610561,05:39
5,-2.661757,-2.476706,0.662000,657.750000,-0.619176,05:39
6,-2.620147,-2.473263,0.617000,529.250000,-0.618316,05:39
7,-2.872160,-2.554520,0.617000,558.000000,-0.638630,05:40
8,-2.805980,-2.639769,0.575000,740.750000,-0.659942,05:41
9,-2.889912,-2.860417,0.653000,712.000000,-0.715104,05:39
