epoch,train_loss,valid_loss,validation,fool_loss,time
0,10.180584,10.465453,0.716000,10.465453,04:29
1,9.689219,9.783919,0.742000,9.783918,04:27
2,9.353773,9.432185,0.765000,9.432187,04:31
3,9.215931,9.252987,0.759000,9.252989,04:27
4,8.940449,9.065763,0.749000,9.065759,04:26
5,8.738766,8.817206,0.746000,8.817208,04:27
6,8.451385,8.789564,0.743000,8.789564,04:25
7,8.410208,8.642880,0.764000,8.642879,04:26
8,8.465233,8.571523,0.758000,8.571524,04:26
9,8.288162,8.369924,0.756000,8.369922,04:26
10,8.011692,8.362115,0.766000,8.362114,04:26
11,7.969680,8.244787,0.773000,8.244789,04:25
12,7.793117,8.097725,0.766000,8.097725,04:26
13,7.655911,8.057884,0.780000,8.057885,04:27
14,7.596908,7.902610,0.774000,7.902611,04:27
15,7.839782,7.825693,0.784000,7.825692,04:27
16,7.491867,7.596559,0.788000,7.596559,04:26
17,7.472580,7.580771,0.785000,7.580771,04:27
18,7.412287,7.479216,0.784000,7.479216,04:33
19,7.335716,7.403967,0.782000,7.403968,04:28
20,7.218327,7.403927,0.788000,7.403927,04:25
21,7.237340,7.382061,0.792000,7.382060,04:28
22,7.153528,7.182565,0.785000,7.182567,04:29
23,6.812077,7.141827,0.788000,7.141827,04:27
24,6.781060,7.104296,0.797000,7.104295,04:27
25,7.045616,7.182697,0.787000,7.182698,04:27
26,6.839650,7.035400,0.801000,7.035401,04:26
27,6.978240,6.950565,0.792000,6.950566,04:32
28,6.720547,6.787765,0.794000,6.787764,04:35
29,6.742363,6.869501,0.800000,6.869501,04:34
30,6.566924,6.873868,0.803000,6.873868,04:33
31,6.556906,6.799929,0.804000,6.799931,04:27
32,6.528202,6.737045,0.794000,6.737043,04:26
33,6.453437,6.634620,0.791000,6.634622,04:26
34,6.349550,6.672693,0.797000,6.672691,04:33
35,6.364252,6.608577,0.790000,6.608579,04:27
36,6.027214,6.558113,0.813000,6.558112,04:33
37,6.206116,6.439406,0.797000,6.439406,04:28
38,6.338393,6.415102,0.798000,6.415101,04:28
39,5.947346,6.489892,0.788000,6.489892,04:33
40,6.264067,6.298337,0.806000,6.298337,04:28
41,5.648112,6.310344,0.804000,6.310342,04:30
42,5.896627,6.340542,0.795000,6.340542,04:29
43,5.692428,6.295279,0.802000,6.295279,04:33
44,5.863266,6.293485,0.810000,6.293484,04:27
45,5.813117,6.206560,0.812000,6.206562,04:28
46,5.686266,6.134141,0.811000,6.134140,04:34
47,5.781740,6.083138,0.809000,6.083138,04:33
48,5.796855,6.023624,0.815000,6.023624,04:25
49,5.793936,5.898817,0.804000,5.898818,04:27
50,5.829489,6.110660,0.809000,6.110659,04:27
51,5.777661,6.011780,0.813000,6.011782,04:28
52,5.634673,5.961656,0.810000,5.961656,04:34
53,5.513855,6.057712,0.813000,6.057712,04:27
54,5.567151,5.772887,0.810000,5.772886,04:29
55,5.429385,5.919815,0.815000,5.919817,04:35
56,5.680589,5.752903,0.810000,5.752903,05:21
57,5.492711,5.842528,0.802000,5.842530,05:40
58,5.507113,5.879529,0.822000,5.879529,05:46
59,5.651211,5.712596,0.808000,5.712594,05:44
60,5.574320,5.758911,0.812000,5.758910,05:48
61,5.335212,5.674131,0.811000,5.674130,05:56
62,5.501504,5.555998,0.824000,5.555996,05:57
63,5.278027,5.685284,0.811000,5.685285,05:08
64,5.404502,5.588448,0.819000,5.588449,05:05
65,5.615211,5.638719,0.810000,5.638719,05:05
66,5.239313,5.608243,0.810000,5.608242,05:09
67,5.188503,5.478962,0.818000,5.478962,05:05
68,5.459708,5.494309,0.820000,5.494310,05:09
69,5.118641,5.534400,0.822000,5.534398,05:03
