epoch,train_loss,valid_loss,validation,div_metric,entropy,fool_loss,div_loss,time
0,1.865636,1.938546,0.359000,1.000000,0.000000,0.959509,0.979037,04:17
1,1.876513,1.926212,0.367000,1.000000,0.000000,0.940181,0.986031,04:23
2,1.871848,1.915059,0.367000,1.000000,0.000000,0.947376,0.967683,04:11
3,1.792652,1.908852,0.365000,1.000000,0.000000,0.945831,0.963021,04:24
4,1.822397,1.903841,0.362000,1.000000,0.000000,0.933424,0.970417,04:20
5,1.849659,1.882308,0.372000,1.000000,0.000000,0.918725,0.963582,04:10
6,1.790426,1.880499,0.361000,1.000000,0.000000,0.918755,0.961744,04:24
7,1.753949,1.863452,0.380000,1.000000,0.000000,0.898584,0.964868,04:10
8,1.748542,1.780510,0.406000,1.000000,0.000000,0.829346,0.951163,04:12
9,1.593379,1.675098,0.466000,1.000000,0.000000,0.727299,0.947799,04:10
10,1.488329,1.594564,0.476000,1.000000,0.000000,0.665030,0.929534,04:12
11,1.548895,1.596267,0.482000,1.000000,0.000000,0.662414,0.933853,04:10
12,1.484311,1.547449,0.504000,1.000000,0.000000,0.629023,0.918426,04:09
13,1.483382,1.535631,0.504000,1.000000,0.000000,0.613302,0.922329,04:09
14,1.501132,1.518332,0.507000,1.000000,0.000000,0.603686,0.914646,04:11
15,1.470149,1.510279,0.526000,1.000000,0.000000,0.591091,0.919188,04:11
16,1.482867,1.491232,0.514000,1.000000,0.000000,0.585894,0.905338,04:12
17,1.433963,1.489425,0.516000,1.000000,0.000000,0.574912,0.914513,04:12
18,1.397529,1.481676,0.526000,1.000000,0.000000,0.578626,0.903049,04:12
19,1.419210,1.479166,0.525000,1.000000,0.000000,0.576972,0.902194,04:10
20,1.464062,1.467062,0.521000,1.000000,0.000000,0.577629,0.889433,04:11
21,1.414346,1.469497,0.529000,1.000000,0.000000,0.576247,0.893250,04:12
22,1.411213,1.450161,0.534000,1.000000,0.000000,0.572421,0.877740,04:07
23,1.408847,1.488050,0.506000,1.000000,0.000000,0.613997,0.874053,04:11
24,1.392802,1.467735,0.536000,1.000000,0.000000,0.567967,0.899768,04:09
25,1.398814,1.469562,0.538000,1.000000,0.000000,0.574257,0.895305,04:10
26,1.364464,1.448989,0.526000,1.000000,0.000000,0.565348,0.883641,04:07
27,1.404080,1.442861,0.520000,1.000000,0.000000,0.570750,0.872112,04:10
28,1.382175,1.406130,0.535000,1.000000,0.000000,0.542025,0.864105,04:25
29,1.424644,1.415134,0.558000,1.000000,0.000000,0.539877,0.875257,04:10
30,1.410038,1.441689,0.538000,1.000000,0.000000,0.573253,0.868435,04:11
31,1.361779,1.413021,0.565000,1.000000,0.000000,0.541337,0.871684,04:11
32,1.378806,1.464061,0.526000,1.000000,0.000000,0.580918,0.883144,04:14
33,1.376611,1.403967,0.525000,1.000000,0.000000,0.556961,0.847005,04:14
34,1.372427,1.408287,0.542000,1.000000,0.000000,0.549003,0.859283,04:14
35,1.360381,1.417477,0.534000,1.000000,0.000000,0.550895,0.866582,04:11
36,1.337442,1.419034,0.547000,1.000000,0.000000,0.559129,0.859905,04:12
37,1.343737,1.392255,0.545000,1.000000,0.000000,0.539670,0.852586,04:09
38,1.356865,1.359577,0.576000,1.000000,0.000000,0.507262,0.852316,04:11
39,1.364503,1.400542,0.535000,1.000000,0.000000,0.553461,0.847081,04:11
40,1.342317,1.396455,0.539000,1.000000,0.000000,0.546712,0.849743,04:08
41,1.366695,1.422718,0.528000,1.000000,0.000000,0.562672,0.860046,04:12
42,1.339524,1.391146,0.531000,1.000000,0.000000,0.544311,0.846835,04:13
43,1.318217,1.406369,0.545000,1.000000,0.000000,0.550267,0.856101,04:14
44,1.365008,1.400449,0.543000,1.000000,0.000000,0.543253,0.857197,04:07
45,1.306766,1.384648,0.548000,1.000000,0.000000,0.530443,0.854204,04:09
46,1.342741,1.374247,0.569000,1.000000,0.000000,0.532601,0.841646,04:09
47,1.310887,1.385507,0.555000,1.000000,0.000000,0.542358,0.843149,04:07
48,1.369111,1.410484,0.546000,1.000000,0.000000,0.551518,0.858966,04:08
49,1.344845,1.395443,0.538000,1.000000,0.000000,0.539846,0.855597,04:18
50,1.298650,1.374775,0.556000,1.000000,0.000000,0.534163,0.840612,04:19
51,1.350094,1.391879,0.566000,1.000000,0.000000,0.536804,0.855075,04:05
52,1.369141,1.400187,0.541000,1.000000,0.000000,0.543865,0.856322,04:07
53,1.338235,1.392682,0.560000,1.000000,0.000000,0.530917,0.861765,04:08
54,1.327056,1.400222,0.546000,1.000000,0.000000,0.550055,0.850167,04:07
55,1.297791,1.390403,0.538000,1.000000,0.000000,0.550633,0.839770,04:20
56,1.342408,1.374722,0.556000,1.000000,0.000000,0.535200,0.839522,04:07
57,1.327576,1.395249,0.544000,1.000000,0.000000,0.543277,0.851972,04:07
58,1.337214,1.380702,0.544000,1.000000,0.000000,0.540633,0.840069,04:06
59,1.328356,1.365329,0.543000,1.000000,0.000000,0.520435,0.844894,04:20
60,1.321793,1.388916,0.552000,1.000000,0.000000,0.534847,0.854069,04:10
61,1.342403,1.381756,0.550000,1.000000,0.000000,0.535006,0.846750,04:10
62,1.287431,1.370709,0.565000,1.000000,0.000000,0.532823,0.837886,04:11
63,1.329286,1.384667,0.547000,1.000000,0.000000,0.544605,0.840061,04:10
64,1.348629,1.377016,0.531000,1.000000,0.000000,0.536623,0.840393,04:11
65,1.367455,1.378550,0.561000,1.000000,0.000000,0.535808,0.842742,04:08
66,1.302068,1.380644,0.575000,1.000000,0.000000,0.514394,0.866251,04:10
67,1.361668,1.375209,0.558000,1.000000,0.000000,0.530289,0.844919,04:08
68,1.312907,1.386198,0.544000,1.000000,0.000000,0.540301,0.845897,04:21
69,1.323960,1.374263,0.554000,1.000000,0.000000,0.541914,0.832350,04:07
70,1.350349,1.385418,0.551000,1.000000,0.000000,0.540592,0.844826,04:07
71,1.269250,1.376772,0.557000,1.000000,0.000000,0.538721,0.838050,04:10
72,1.327598,1.394734,0.546000,1.000000,0.000000,0.553998,0.840736,04:07
73,1.311090,1.372016,0.568000,1.000000,0.000000,0.538947,0.833069,04:07
74,1.337035,1.374910,0.561000,1.000000,0.000000,0.527237,0.847673,04:07
75,1.312871,1.375809,0.553000,1.000000,0.000000,0.526095,0.849714,04:08
76,1.288991,1.381479,0.565000,1.000000,0.000000,0.537717,0.843762,04:08
77,1.271974,1.374451,0.569000,1.000000,0.000000,0.522918,0.851534,04:07
78,1.252672,1.380647,0.559000,1.000000,0.000000,0.524473,0.856175,04:08
79,1.341656,1.385288,0.541000,1.000000,0.000000,0.543134,0.842154,04:08
80,1.349895,1.397135,0.563000,1.000000,0.000000,0.540714,0.856420,04:10
81,1.335609,1.383308,0.560000,1.000000,0.000000,0.532477,0.850830,04:09
82,1.317339,1.404524,0.543000,1.000000,0.000000,0.564691,0.839833,04:21
83,1.325949,1.398521,0.535000,1.000000,0.000000,0.545347,0.853174,04:27
84,1.308588,1.391165,0.555000,1.000000,0.000000,0.541190,0.849975,04:09
