epoch,train_loss,valid_loss,validation,fool_loss,triplet_loss,time
0,4.288100,4.249317,0.870000,0.352338,0.974245,06:06
1,4.145509,4.139884,0.832000,0.407709,0.933044,06:07
2,4.258503,4.328309,0.804000,0.520430,0.951969,06:09
3,4.134698,4.095556,0.821000,0.454037,0.910380,06:09
4,4.009301,3.987160,0.833000,0.440112,0.886762,06:08
5,3.921554,3.941517,0.834000,0.455249,0.871567,06:08
6,3.944503,4.014588,0.797000,0.506236,0.877088,06:09
7,3.935120,3.866487,0.836000,0.401170,0.866329,06:09
8,3.836886,3.836598,0.846000,0.432414,0.851046,06:08
9,3.805332,3.892437,0.834000,0.468137,0.856075,06:08
10,3.877844,3.824351,0.849000,0.402227,0.855531,06:09
11,4.044531,4.018897,0.867000,0.380350,0.909637,06:08
12,3.813203,3.748694,0.847000,0.377508,0.842796,06:09
13,3.791010,3.759718,0.823000,0.488330,0.817847,06:08
14,3.799275,3.877601,0.815000,0.529608,0.836998,06:09
15,3.908634,3.774460,0.865000,0.402306,0.843038,06:08
16,3.805598,3.892468,0.813000,0.484842,0.851907,06:08
17,3.865035,3.983814,0.806000,0.534040,0.862444,06:08
18,3.663083,3.831029,0.826000,0.433913,0.849279,06:07
19,3.756496,3.708480,0.836000,0.435119,0.818340,06:09
20,3.663148,3.667713,0.841000,0.410942,0.814193,06:07
21,3.676765,3.719079,0.833000,0.451210,0.816968,06:10
22,3.745227,3.695906,0.834000,0.403919,0.822997,06:08
23,3.756390,3.752426,0.876000,0.346545,0.851470,06:09
24,3.944997,3.907031,0.833000,0.431802,0.868807,06:07
25,3.868711,3.728089,0.850000,0.398741,0.832337,06:08
26,3.716249,3.936443,0.826000,0.507221,0.857306,06:08
27,3.646386,3.724933,0.851000,0.413487,0.827861,06:08
28,3.680587,3.591505,0.832000,0.447221,0.786071,06:08
29,3.744746,3.781883,0.849000,0.368105,0.853445,06:08
30,3.731620,3.679548,0.851000,0.420534,0.814753,06:09
31,3.805889,3.915102,0.877000,0.349183,0.891480,06:08
32,3.749747,3.745332,0.864000,0.359306,0.846506,06:09
33,3.746784,3.803314,0.848000,0.383740,0.854894,06:12
34,3.730727,3.783060,0.833000,0.414412,0.842162,06:10
35,3.696857,3.727323,0.873000,0.369157,0.839542,06:10
36,3.515437,3.714193,0.844000,0.400379,0.828454,06:11
37,3.831945,3.739264,0.840000,0.439771,0.824873,06:08
38,3.681770,3.677478,0.835000,0.428007,0.812368,06:07
39,3.670035,3.658378,0.848000,0.405295,0.813271,06:03
