epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,entropy,fool_loss,time
77,7.407524,7.433139,0.734000,0.007000,694.750000,9.459400,7.433139,04:05
78,7.364955,7.547143,0.722000,0.007000,678.500000,9.403127,7.547142,04:08
79,7.403299,7.542844,0.709000,0.007000,688.500000,9.421915,7.542845,04:04
80,7.366015,7.486623,0.726000,0.013000,679.000000,9.389150,7.486623,04:06
81,7.422842,7.437972,0.718000,0.005000,696.000000,9.458516,7.437972,04:05
82,7.395418,7.419640,0.725000,0.009000,686.250000,9.433401,7.419639,04:03
83,7.416762,7.449204,0.738000,0.005000,687.000000,9.431564,7.449205,04:06
84,7.311449,7.433428,0.731000,0.012000,683.500000,9.412622,7.433428,04:04
85,7.321818,7.451652,0.730000,0.003000,692.250000,9.444539,7.451653,04:04
86,7.360491,7.463113,0.741000,0.009000,712.250000,9.490490,7.463113,04:05
87,7.385678,7.419302,0.735000,0.007000,685.000000,9.416519,7.419302,04:04
88,7.324892,7.418652,0.743000,0.009000,693.000000,9.446213,7.418653,04:05
89,7.281426,7.465197,0.728000,0.004000,709.000000,9.486525,7.465197,04:18
90,7.276134,7.418207,0.737000,0.007000,703.750000,9.475843,7.418207,04:08
91,7.342672,7.417247,0.724000,0.006000,697.500000,9.460557,7.417245,04:22
92,7.305903,7.458164,0.743000,0.005000,689.250000,9.424548,7.458165,04:06
93,7.338923,7.311137,0.743000,0.011000,684.250000,9.421165,7.311138,04:05
94,7.339118,7.403003,0.728000,0.009000,685.750000,9.418040,7.403003,04:06
95,7.284507,7.362344,0.729000,0.009000,686.750000,9.435940,7.362344,04:04
96,7.338212,7.285233,0.723000,0.015000,693.750000,9.434717,7.285234,04:03
97,7.279106,7.330521,0.731000,0.010000,702.750000,9.477651,7.330521,04:03
98,7.205402,7.316714,0.718000,0.007000,697.250000,9.457460,7.316715,04:06
99,7.302807,7.352926,0.735000,0.010000,703.000000,9.471666,7.352926,04:08
100,7.212973,7.329193,0.743000,0.011000,699.250000,9.461921,7.329194,04:05
101,7.202852,7.313745,0.734000,0.012000,708.250000,9.487786,7.313745,04:05
102,7.232169,7.349257,0.741000,0.009000,708.000000,9.492560,7.349259,04:04
103,7.318253,7.321568,0.743000,0.002000,694.250000,9.431286,7.321568,04:06
104,7.260701,7.324390,0.753000,0.013000,702.250000,9.469456,7.324390,04:04
105,7.217751,7.345564,0.736000,0.016000,699.000000,9.464208,7.345564,04:05
106,7.124177,7.231871,0.740000,0.016000,685.750000,9.413241,7.231871,04:04
107,7.235233,7.245811,0.740000,0.008000,686.250000,9.420179,7.245811,04:04
108,7.215059,7.289136,0.753000,0.009000,692.000000,9.443599,7.289136,04:21
109,7.190564,7.288370,0.743000,0.009000,696.250000,9.456035,7.288370,04:07
110,7.201763,7.259822,0.723000,0.011000,694.500000,9.437369,7.259823,04:04
111,7.169048,7.244958,0.732000,0.008000,697.000000,9.452091,7.244959,04:04
112,7.170754,7.241834,0.740000,0.010000,691.000000,9.439348,7.241835,04:08
113,7.168263,7.281194,0.732000,0.013000,690.250000,9.438266,7.281193,04:05
114,7.162656,7.257514,0.723000,0.015000,696.500000,9.451908,7.257514,04:08
115,7.166684,7.290026,0.750000,0.011000,698.500000,9.467803,7.290025,04:06
116,7.196762,7.269383,0.731000,0.013000,699.000000,9.463814,7.269384,04:04
117,7.128110,7.167483,0.745000,0.015000,703.000000,9.480602,7.167484,04:04
118,7.122519,7.245381,0.732000,0.005000,696.000000,9.453467,7.245382,04:06
119,7.030577,7.177455,0.755000,0.011000,695.000000,9.456959,7.177455,04:03
120,7.146449,7.254758,0.723000,0.008000,679.750000,9.409769,7.254758,04:04
121,7.083427,7.247449,0.733000,0.015000,690.250000,9.438945,7.247449,04:04
122,7.062836,7.219784,0.740000,0.010000,696.750000,9.457213,7.219783,04:04
123,7.142105,7.194513,0.734000,0.011000,696.000000,9.438405,7.194513,04:03
124,7.069867,7.225135,0.749000,0.015000,704.000000,9.480670,7.225133,04:06
125,7.031243,7.164553,0.736000,0.016000,693.500000,9.443389,7.164552,04:05
126,7.143561,7.140408,0.745000,0.010000,691.000000,9.439793,7.140409,04:04
127,7.010257,7.137110,0.741000,0.012000,699.000000,9.475830,7.137110,04:06
128,7.006344,7.147631,0.745000,0.016000,696.250000,9.463940,7.147632,04:06
129,7.007554,7.072826,0.733000,0.018000,696.000000,9.462496,7.072827,04:08
130,7.014168,7.145917,0.744000,0.016000,693.250000,9.460017,7.145916,04:11
131,7.035881,7.111005,0.729000,0.014000,685.000000,9.427930,7.111006,04:06
132,7.014118,7.094350,0.731000,0.014000,688.250000,9.432983,7.094351,04:02
133,7.035384,7.158461,0.749000,0.023000,688.500000,9.433148,7.158462,04:05
134,7.070906,7.119526,0.731000,0.013000,686.500000,9.428925,7.119525,04:06
135,7.051526,7.152386,0.732000,0.013000,678.750000,9.402317,7.152386,04:03
136,6.988102,7.134933,0.743000,0.017000,687.250000,9.423594,7.134932,04:05
137,6.886677,7.093350,0.739000,0.021000,687.250000,9.423062,7.093351,04:04
138,7.073663,7.089560,0.749000,0.023000,691.750000,9.445208,7.089559,04:05
139,7.018766,7.126271,0.739000,0.020000,693.500000,9.452658,7.126271,04:03
