epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss_0,triplet_loss,time
0,6.411794,6.493741,0.707000,692,0.775007,0.606740,1.084247,06:23
1,5.873160,6.326756,0.721000,487,0.771377,0.577623,1.051595,06:21
2,5.962219,6.150698,0.717000,378,0.688642,0.564552,1.052215,06:19
3,6.048985,6.111416,0.718000,466,0.700958,0.539213,1.042572,06:20
4,6.277667,6.152679,0.737000,405,0.638658,0.551595,1.033043,06:20
5,6.066190,6.364340,0.731000,420,0.721233,0.538788,1.041679,06:20
6,6.238597,6.262442,0.741000,507,0.627532,0.547505,1.020838,06:20
7,6.086205,6.402550,0.730000,322,0.654790,0.548932,1.037791,06:19
8,6.351481,6.509820,0.745000,443,0.636710,0.535213,1.032037,06:20
9,6.436082,6.381679,0.757000,458,0.583980,0.558634,1.032376,06:19
10,6.326351,6.444363,0.754000,369,0.627015,0.532610,1.023353,06:20
11,6.458899,6.494348,0.752000,429,0.588580,0.541892,1.017250,06:20
12,6.435080,6.632057,0.762000,419,0.597881,0.551258,1.041895,06:19
13,6.636850,6.743574,0.753000,440,0.597812,0.509962,1.035317,06:19
14,6.681285,6.630875,0.779000,428,0.579027,0.521311,1.020743,06:19
15,6.381914,6.609408,0.762000,319,0.546340,0.555093,1.035532,06:21
16,6.612432,6.570461,0.770000,364,0.516805,0.558164,1.050870,06:20
17,6.521363,6.606605,0.769000,256,0.546741,0.557835,1.033794,06:19
18,6.491251,6.772995,0.772000,343,0.577044,0.511961,1.017068,06:19
19,6.798806,6.869088,0.765000,384,0.553803,0.534395,1.016026,06:19
20,6.443612,6.823645,0.784000,317,0.516181,0.565533,1.035442,06:20
21,6.903935,6.817670,0.786000,306,0.535583,0.537004,1.021194,06:19
22,6.604922,7.054224,0.783000,434,0.554258,0.547995,1.016874,06:19
23,7.047258,7.143686,0.780000,400,0.505871,0.547845,1.054561,06:19
24,6.804809,7.034602,0.785000,263,0.502704,0.552584,1.029827,06:20
25,6.861676,7.035660,0.783000,341,0.501902,0.564886,1.027958,06:19
26,6.801241,7.076303,0.794000,338,0.510830,0.560179,1.028805,06:19
27,6.745860,7.091522,0.790000,309,0.483265,0.547716,1.031870,06:19
28,7.015044,7.132555,0.782000,368,0.492522,0.547270,1.030669,06:19
29,6.862858,7.283415,0.784000,371,0.500929,0.550897,1.019399,06:19
30,7.013668,7.306859,0.807000,342,0.462030,0.568024,1.037867,06:19
31,6.946855,7.324696,0.801000,225,0.486873,0.540328,1.014470,06:15
32,6.924312,7.569677,0.801000,346,0.491272,0.532091,1.034771,06:15
33,7.321005,7.483293,0.796000,283,0.465792,0.557721,1.009415,06:15
34,7.143102,7.469620,0.801000,238,0.447345,0.550091,1.036497,06:15
35,7.085165,7.401484,0.815000,275,0.436514,0.574176,1.030229,06:15
36,6.750798,7.462038,0.807000,315,0.453612,0.559658,1.022496,06:15
37,7.062361,7.499987,0.805000,244,0.435888,0.564567,1.025537,06:15
38,7.747692,7.437264,0.810000,244,0.417809,0.551502,1.042500,06:15
39,7.260473,7.591351,0.800000,211,0.451076,0.559487,1.024969,06:16
40,7.495240,7.719485,0.802000,304,0.443318,0.566186,1.034684,06:16
41,7.231466,7.453478,0.814000,227,0.412439,0.544906,1.025997,06:11
42,7.308927,7.638339,0.815000,257,0.428892,0.558738,1.040784,06:11
43,7.209837,7.622510,0.817000,254,0.414459,0.569660,1.027548,06:11
44,7.285256,7.695359,0.822000,274,0.419208,0.565929,1.038264,06:11
45,7.340048,7.595953,0.818000,288,0.399648,0.560016,1.019636,06:12
46,7.323905,7.520109,0.833000,226,0.392532,0.559568,1.013951,06:11
47,7.754134,7.636362,0.828000,231,0.395570,0.571650,1.034374,06:11
48,7.203696,7.690295,0.821000,225,0.382450,0.594851,1.037645,06:10
49,7.626056,7.671693,0.827000,207,0.378139,0.571127,1.047225,06:11
