epoch,train_loss,valid_loss,validation,fool_loss,time
0,5.229643,5.374221,0.821000,5.374222,04:29
1,5.181081,5.466646,0.814000,5.466646,04:27
2,5.253142,5.420962,0.812000,5.420962,04:26
3,5.091384,5.460127,0.826000,5.460127,04:27
4,4.934918,5.545703,0.816000,5.545704,04:27
5,5.150962,5.381128,0.829000,5.381128,04:29
6,5.286242,5.187348,0.824000,5.187346,05:25
7,5.009192,5.428133,0.826000,5.428133,05:07
8,5.212083,5.391756,0.824000,5.391756,05:24
9,5.281845,5.218410,0.824000,5.218411,05:32
10,4.903728,5.279607,0.813000,5.279607,05:37
11,5.101719,5.321275,0.813000,5.321274,05:19
12,5.006413,5.151948,0.817000,5.151948,05:07
13,5.090128,5.139540,0.817000,5.139540,05:04
14,4.858464,5.294352,0.824000,5.294352,05:05
15,4.972863,5.198972,0.818000,5.198972,05:03
16,4.771205,5.129174,0.809000,5.129174,05:08
17,4.688326,5.175157,0.828000,5.175156,05:07
18,4.845381,5.220152,0.810000,5.220153,05:06
19,4.965797,5.281116,0.827000,5.281118,05:06
20,4.803530,4.953064,0.822000,4.953065,05:04
21,4.695368,5.197776,0.838000,5.197776,05:06
22,4.712369,5.123225,0.820000,5.123227,05:05
23,4.858299,5.056920,0.818000,5.056921,05:24
24,5.020044,5.064154,0.835000,5.064155,06:24
25,5.065477,5.089384,0.830000,5.089384,06:00
26,4.672634,5.152309,0.825000,5.152309,05:04
27,4.662933,5.072299,0.820000,5.072299,05:07
28,4.867610,5.056929,0.837000,5.056930,05:26
29,4.738449,4.996087,0.832000,4.996087,04:39
30,4.644501,4.874945,0.839000,4.874944,04:26
31,4.633540,5.014729,0.840000,5.014728,04:28
32,4.654126,4.991980,0.826000,4.991978,04:26
33,4.619129,4.851161,0.838000,4.851161,04:26
34,4.698864,4.899976,0.825000,4.899975,04:25
35,4.674686,4.920722,0.839000,4.920722,04:26
36,4.331081,4.930310,0.838000,4.930309,04:26
37,4.731931,4.945165,0.819000,4.945166,04:26
38,4.625991,4.964229,0.825000,4.964229,04:26
39,4.463534,4.932977,0.827000,4.932975,04:27
40,4.589869,4.708330,0.844000,4.708329,04:27
41,4.424842,4.835938,0.839000,4.835939,04:26
42,4.725501,4.894730,0.832000,4.894730,04:27
43,4.404583,4.884545,0.816000,4.884545,04:26
44,4.494799,4.748055,0.834000,4.748056,04:25
45,4.420614,4.882035,0.846000,4.882034,04:26
46,4.667378,4.785539,0.823000,4.785538,04:27
47,4.616492,4.762418,0.836000,4.762417,04:26
48,4.630783,4.867882,0.828000,4.867882,04:32
49,4.541823,4.821495,0.838000,4.821494,04:26
50,4.730194,4.779123,0.842000,4.779123,04:26
51,4.435576,4.784865,0.830000,4.784867,04:27
52,4.662966,4.772624,0.843000,4.772624,04:27
53,4.671699,4.840246,0.837000,4.840247,04:27
54,4.465672,4.803957,0.827000,4.803957,04:27
55,4.504543,4.767677,0.828000,4.767677,04:25
56,4.386841,4.734122,0.835000,4.734121,04:26
57,4.500267,4.781857,0.838000,4.781856,04:31
58,4.576890,4.699757,0.843000,4.699756,04:26
59,4.180383,4.652674,0.847000,4.652674,04:27
60,4.660271,4.599147,0.833000,4.599147,04:26
61,4.395858,4.722075,0.846000,4.722076,04:24
62,4.244874,4.703209,0.835000,4.703209,04:25
63,4.434741,4.677606,0.859000,4.677606,04:25
64,4.470664,4.756810,0.843000,4.756811,04:29
65,4.713500,4.659028,0.835000,4.659026,04:32
66,4.308399,4.623826,0.838000,4.623826,04:32
67,4.441807,4.719499,0.842000,4.719499,04:32
68,4.318263,4.706309,0.834000,4.706309,04:31
69,4.281185,4.711811,0.830000,4.711811,04:30
