epoch,train_loss,valid_loss,validation,fool_loss,triplet_loss,time
0,4.995255,5.109228,0.327000,2.321243,1.393993,05:57
1,4.062626,4.015948,0.557000,1.217169,1.399390,05:57
2,3.195406,3.098175,0.714000,0.710488,1.193844,05:58
3,2.481475,2.900515,0.665000,0.881195,1.009660,05:56
4,1.352709,3.487742,0.668000,0.909610,1.289066,05:57
5,1.293923,3.100129,0.848000,0.358822,1.370654,05:56
6,1.220508,5.059578,0.284000,2.360796,1.349391,05:57
7,1.281488,4.728524,0.348000,2.144130,1.292197,05:57
8,1.245562,5.579757,0.207000,2.833768,1.372995,05:57
9,1.268121,3.716348,0.637000,1.050242,1.333053,05:56
10,1.283622,5.809391,0.127000,3.261411,1.273990,05:57
11,1.246925,5.922912,0.121000,3.285138,1.318887,05:56
12,1.229409,6.123384,0.115000,3.361694,1.380846,05:56
13,1.257714,3.132573,0.803000,0.528964,1.301804,05:57
14,1.228800,6.147833,0.103000,3.573419,1.287208,05:57
15,1.229294,4.041846,0.512000,1.563923,1.238962,05:57
16,1.276839,5.223784,0.241000,2.655365,1.284209,05:55
17,1.264991,3.279927,0.775000,0.609907,1.335009,05:56
18,1.178459,5.716959,0.153000,3.084780,1.316089,05:57
19,1.233118,3.501801,0.689000,0.892493,1.304654,05:57
20,1.191349,5.717317,0.122000,3.399543,1.158887,05:56
21,1.208159,4.806916,0.342000,2.214764,1.296076,05:57
22,1.304599,3.151086,0.848000,0.382830,1.384128,05:56
23,1.178185,4.510104,0.377000,2.057486,1.226309,05:57
24,1.204247,4.279832,0.451000,1.764679,1.257577,05:57
25,1.206967,5.606657,0.182000,2.953127,1.326765,05:57
26,1.234163,6.265379,0.090000,3.529927,1.367726,05:57
27,1.188532,6.115814,0.087000,3.605601,1.255106,05:56
28,1.199102,5.861910,0.117000,3.301381,1.280264,05:56
29,1.209897,6.148397,0.094000,3.419024,1.364687,05:58
30,1.240867,5.081800,0.233000,2.737102,1.172349,05:56
31,1.195655,3.622487,0.683000,0.943172,1.339658,05:58
32,1.195410,4.379138,0.383000,2.060004,1.159567,05:57
33,1.222719,5.234159,0.198000,2.902368,1.165896,05:56
34,1.221570,5.850612,0.158000,3.120382,1.365116,05:58
35,1.186447,6.507394,0.064000,3.759008,1.374193,05:57
36,1.198342,6.396150,0.084000,3.650694,1.372727,05:57
37,1.206733,5.715370,0.128000,3.288297,1.213537,05:57
38,1.224971,4.829930,0.316000,2.398341,1.215794,05:59
39,1.157242,5.556711,0.207000,2.871071,1.342820,05:58
