epoch,train_loss,valid_loss,validation,div_metric,entropy,fool_loss,div_loss,time
0,1.302074,1.348217,0.672000,713.500000,9.522377,0.348244,0.999973,04:34
1,1.305252,1.346417,0.665000,369.250000,6.199195,0.346431,0.999987,04:22
2,1.293283,1.341836,0.671000,374.000000,6.308337,0.341842,0.999994,04:17
3,1.294379,1.344374,0.676000,371.500000,6.234109,0.344380,0.999994,04:02
4,1.314282,1.339823,0.668000,365.000000,6.215129,0.339824,0.999999,04:06
5,1.310321,1.340804,0.678000,374.750000,6.237564,0.340830,0.999974,04:04
6,1.298774,1.345733,0.669000,368.250000,6.195355,0.345735,0.999998,04:02
7,1.273385,1.342042,0.664000,377.750000,6.343760,0.342047,0.999995,04:05
8,1.303448,1.340253,0.669000,378.750000,6.301698,0.340389,0.999863,04:05
9,1.290068,1.343471,0.673000,372.750000,6.227580,0.343494,0.999978,04:04
10,1.279957,1.341666,0.671000,372.500000,6.222253,0.341718,0.999947,04:04
11,1.337960,1.341599,0.675000,370.750000,6.212765,0.341600,0.999999,04:05
12,1.299147,1.341827,0.672000,367.750000,6.171776,0.341828,0.999999,04:09
13,1.317697,1.341956,0.670000,367.000000,6.150415,0.341956,1.000000,04:06
14,1.321490,1.342361,0.671000,369.500000,6.185611,0.342366,0.999995,05:00
15,1.274039,1.338581,0.675000,367.750000,6.133039,0.338612,0.999969,05:07
16,1.292433,1.336350,0.678000,364.000000,6.060766,0.336395,0.999956,05:09
17,1.276240,1.334932,0.683000,363.750000,6.069661,0.334934,0.999998,05:08
18,1.287885,1.336251,0.675000,360.750000,6.035234,0.336252,0.999999,05:07
19,1.292397,1.333408,0.672000,365.750000,6.084536,0.333413,0.999995,05:05
20,1.327714,1.332681,0.675000,368.750000,6.107623,0.332683,0.999999,05:06
21,1.289497,1.334960,0.677000,367.000000,6.096376,0.334962,0.999999,05:04
22,1.320207,1.332602,0.676000,368.000000,6.127965,0.332602,1.000000,05:07
23,1.278309,1.332113,0.674000,367.000000,6.121954,0.332113,1.000000,05:06
24,1.297463,1.332196,0.675000,367.000000,6.110372,0.332197,0.999999,05:05
25,1.305070,1.332211,0.675000,367.000000,6.125225,0.332211,1.000000,05:07
26,1.281674,1.332549,0.675000,367.000000,6.124274,0.332549,1.000000,05:07
27,1.356534,1.331975,0.680000,367.000000,6.115712,0.331976,0.999999,05:07
28,1.293196,1.332059,0.674000,365.000000,6.054665,0.332060,0.999999,05:07
29,1.297795,1.331499,0.674000,370.750000,6.120215,0.331499,1.000000,05:04
