epoch,train_loss,valid_loss,validation,fool_loss,triplet_loss,time
0,9.907234,9.688834,0.211000,2.740419,6.948414,05:45
1,7.742454,7.708803,0.540000,1.232151,6.476651,05:45
2,7.424648,7.560034,0.556000,1.244003,6.316031,05:46
3,7.241521,7.149767,0.634000,0.969195,6.180573,05:44
4,7.026928,7.052979,0.656000,0.899666,6.153313,05:45
5,6.826623,6.825952,0.650000,0.926738,5.899213,05:45
6,6.698637,6.595646,0.657000,0.886809,5.708838,05:46
7,6.627831,6.637251,0.628000,1.007109,5.630143,05:47
8,6.826222,6.968409,0.612000,1.054636,5.913774,05:45
9,6.752265,6.802546,0.633000,0.980925,5.821620,05:46
10,6.679576,6.759086,0.655000,0.924111,5.834974,05:45
11,6.582039,6.767031,0.661000,0.951583,5.815448,05:45
12,6.623961,6.794626,0.623000,1.023249,5.771377,05:44
13,6.601992,6.647296,0.641000,0.912773,5.734524,05:48
14,6.515450,6.586317,0.662000,0.935367,5.650951,05:45
15,6.587207,6.619230,0.659000,0.971236,5.647995,05:46
16,6.483099,6.563006,0.640000,0.952706,5.610299,05:46
17,6.505785,6.494153,0.694000,0.854789,5.639365,05:46
18,6.233777,6.397876,0.710000,0.773823,5.624052,05:45
19,6.320411,6.360082,0.707000,0.779964,5.580116,05:47
20,6.286628,6.532527,0.685000,0.809075,5.723452,05:45
21,6.288753,6.479681,0.705000,0.805585,5.674096,05:46
22,6.198737,6.287723,0.684000,0.821479,5.466244,05:46
23,6.115943,6.370286,0.685000,0.848309,5.521976,05:45
24,6.190555,6.204968,0.692000,0.786276,5.418692,05:46
25,5.966499,6.261306,0.690000,0.748842,5.512466,05:46
26,6.092658,6.120373,0.694000,0.783198,5.337175,05:45
27,6.179485,6.253882,0.662000,0.871807,5.382075,05:46
28,6.085110,5.969804,0.713000,0.739581,5.230224,05:47
29,5.888453,6.017296,0.697000,0.818492,5.198805,05:46
30,6.123152,6.247425,0.672000,0.840819,5.406604,05:46
31,6.049362,6.087213,0.712000,0.798815,5.288397,05:45
32,6.024275,6.096807,0.716000,0.762088,5.334719,05:46
33,6.019309,5.958351,0.702000,0.754352,5.203998,05:45
34,5.982996,6.052769,0.680000,0.807678,5.245091,05:45
35,5.979242,5.858075,0.695000,0.806468,5.051609,05:45
36,5.839952,5.826035,0.717000,0.721451,5.104584,05:47
37,5.803103,5.833638,0.692000,0.776325,5.057313,05:46
38,5.783164,5.847432,0.679000,0.783406,5.064025,05:45
39,5.747785,5.751333,0.718000,0.780832,4.970501,05:45
