epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,triplet_loss,time
0,8.839586,9.493416,0.758000,0.615390,0.497091,0.976778,06:12
1,8.782124,10.551272,0.774000,0.525903,0.591056,1.028704,06:11
2,8.794910,9.260318,0.776000,0.559140,0.473984,0.990334,06:10
3,8.290226,8.807352,0.768000,0.543266,0.440025,0.965959,06:09
4,8.424486,8.668607,0.777000,0.576893,0.430272,0.947249,06:11
5,8.236552,8.684931,0.781000,0.540822,0.436689,0.944305,06:13
6,8.591472,8.836300,0.735000,0.676855,0.421494,0.986126,06:14
7,8.178269,8.652792,0.775000,0.545327,0.424433,0.965783,06:12
8,7.973609,8.868956,0.768000,0.569523,0.438262,0.979203,06:13
9,7.972029,9.130235,0.801000,0.492751,0.459942,1.009515,06:13
10,8.072205,8.622076,0.746000,0.640152,0.408886,0.973267,06:13
11,7.465086,8.186184,0.764000,0.603236,0.389325,0.922424,06:12
12,7.926970,8.376742,0.740000,0.616598,0.401532,0.936207,06:12
13,7.624210,8.577569,0.736000,0.668767,0.413209,0.944178,06:13
14,7.472234,8.329870,0.753000,0.639754,0.402342,0.916674,06:13
15,7.354892,8.136033,0.775000,0.577256,0.386546,0.923330,06:12
16,7.529809,8.244108,0.773000,0.634408,0.392419,0.921378,06:12
17,7.535995,8.285354,0.771000,0.574884,0.392434,0.946532,06:12
18,7.291527,7.990572,0.784000,0.572455,0.371878,0.924833,06:12
19,7.548679,7.978838,0.791000,0.523373,0.378807,0.916848,06:12
20,7.539310,8.443570,0.811000,0.509924,0.412681,0.951708,06:12
21,7.371273,7.920795,0.800000,0.496567,0.366212,0.940526,06:12
22,7.048507,7.477396,0.780000,0.556610,0.336203,0.889688,06:12
23,7.224885,8.059366,0.768000,0.676227,0.374246,0.910170,06:12
24,7.049496,7.835160,0.801000,0.535666,0.364420,0.913824,06:12
25,7.448652,7.725130,0.793000,0.539937,0.347628,0.927228,06:12
26,6.995823,7.854526,0.766000,0.630255,0.348359,0.935171,06:12
27,7.194264,7.985875,0.774000,0.594456,0.378241,0.902251,06:13
28,7.269809,7.707932,0.809000,0.480431,0.355615,0.917838,06:12
29,7.129154,7.850480,0.810000,0.507294,0.361962,0.930892,06:12
30,7.302185,8.003901,0.798000,0.545167,0.379339,0.916335,06:12
31,7.119105,7.803034,0.804000,0.532394,0.363691,0.908432,06:13
32,7.075794,7.799330,0.790000,0.558811,0.357643,0.916022,06:12
33,7.305506,7.830717,0.784000,0.571720,0.356710,0.922975,06:12
34,7.213557,7.876398,0.799000,0.528386,0.371408,0.908483,06:13
35,7.482579,7.662375,0.795000,0.539370,0.343579,0.921804,06:12
36,6.970151,7.909319,0.779000,0.617731,0.366822,0.905841,06:12
37,7.047631,7.708579,0.810000,0.460314,0.349705,0.937803,06:13
38,7.042578,7.594132,0.790000,0.506790,0.350586,0.895371,06:12
39,7.028584,7.711667,0.755000,0.614281,0.349449,0.900723,06:12
