epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,triplet_loss,time
0,21.019945,20.998968,0.626000,0.346036,0.709204,19.943729,08:07
1,20.657511,20.717981,0.746000,0.220012,0.589228,19.908743,08:01
2,20.412956,20.459803,0.847000,0.133642,0.418537,19.907625,08:01
3,20.379700,20.421629,0.854000,0.130554,0.395880,19.895197,08:01
4,20.323071,20.420403,0.852000,0.125100,0.404720,19.890579,08:00
5,20.320480,20.350945,0.856000,0.120161,0.352885,19.877903,08:01
6,20.285938,20.339312,0.866000,0.107544,0.348322,19.883442,08:01
7,20.276964,20.301748,0.873000,0.108890,0.320962,19.871889,08:01
8,20.206116,20.278940,0.885000,0.095965,0.315348,19.867630,08:00
9,20.187426,20.289419,0.882000,0.102663,0.312842,19.873915,08:00
10,20.187794,20.273956,0.887000,0.100282,0.321985,19.851692,08:00
11,20.192238,20.267569,0.894000,0.089534,0.323344,19.854689,08:01
12,20.196936,20.234867,0.893000,0.085978,0.299102,19.849789,08:00
13,20.145535,20.221046,0.903000,0.087932,0.278138,19.854977,08:09
14,20.126904,20.224592,0.893000,0.087518,0.294733,19.842340,08:10
15,20.161379,20.241289,0.897000,0.092105,0.305521,19.843657,08:10
16,20.173691,20.239660,0.885000,0.091721,0.312761,19.835176,08:11
17,20.131199,20.222605,0.917000,0.079023,0.292565,19.851009,08:11
18,20.120316,20.208366,0.889000,0.097044,0.262418,19.848900,08:10
19,20.118166,20.210060,0.900000,0.084585,0.265378,19.860098,08:04
