epoch,train_loss,valid_loss,denoiser_validation,denoiser_loss,time
0,6.258075,6.243393,0.972000,6.243393,04:22
1,6.255868,6.242856,0.983000,6.242855,04:16
2,6.255734,6.242341,0.985000,6.242342,04:15
3,6.250716,6.242188,0.981000,6.242188,04:15
4,6.255326,6.242441,0.979000,6.242441,04:14
