epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss,time
0,3.822201,3.988877,0.467000,806.500000,1.329665,-0.000119,05:36
1,3.455422,3.479063,0.500000,563.500000,1.159720,-0.000096,05:36
2,3.151314,3.355491,0.524000,525.000000,1.118570,-0.000217,05:35
3,2.957960,3.081248,0.546000,512.000000,1.027143,-0.000181,05:39
4,3.172816,3.009161,0.549000,494.000000,1.003111,-0.000170,05:38
5,2.654325,2.945798,0.559000,492.500000,0.982023,-0.000272,05:39
6,2.552406,2.847482,0.566000,488.250000,0.949211,-0.000151,05:38
7,2.561359,2.800131,0.571000,472.000000,0.933404,-0.000082,05:39
8,2.776417,2.784014,0.581000,471.250000,0.928046,-0.000124,05:37
9,2.526147,2.753756,0.582000,463.500000,0.917947,-0.000086,05:38
10,2.600070,2.739069,0.581000,464.750000,0.913059,-0.000109,05:39
11,2.653587,2.722830,0.583000,457.750000,0.907672,-0.000186,05:39
12,2.302415,2.678024,0.591000,458.000000,0.892697,-0.000066,05:38
13,2.442026,2.652325,0.593000,442.500000,0.884141,-0.000097,05:38
14,2.459617,2.635387,0.594000,450.000000,0.878491,-0.000086,05:38
15,2.300536,2.635774,0.599000,444.750000,0.878608,-0.000050,05:37
16,2.342534,2.629123,0.591000,439.000000,0.876411,-0.000110,05:38
17,2.285618,2.615536,0.600000,449.750000,0.871863,-0.000053,05:38
18,2.289165,2.605434,0.600000,439.000000,0.868501,-0.000068,05:38
19,2.577094,2.602750,0.597000,440.000000,0.867602,-0.000056,05:38
20,2.255599,2.615072,0.593000,441.250000,0.871717,-0.000077,05:37
21,2.543344,2.576928,0.602000,444.500000,0.858993,-0.000051,05:38
22,2.509713,2.574023,0.600000,438.750000,0.858031,-0.000070,05:40
23,2.421277,2.588272,0.599000,439.500000,0.862798,-0.000123,05:38
24,2.559266,2.551161,0.603000,437.500000,0.850408,-0.000061,05:38
25,2.426991,2.569002,0.602000,434.750000,0.856354,-0.000059,05:38
26,2.473495,2.536237,0.601000,434.750000,0.845425,-0.000037,05:38
27,2.419813,2.534393,0.609000,434.000000,0.844816,-0.000056,05:38
28,2.399800,2.532614,0.609000,429.500000,0.844224,-0.000060,05:38
29,2.508458,2.524074,0.607000,433.000000,0.841394,-0.000109,05:38
