epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,time
0,2.086346,2.046643,0.292000,1.046643,1.000000,07:10
1,2.102992,2.047408,0.289000,1.047419,0.999990,07:10
2,1.580212,1.599669,0.484000,0.599823,0.999846,07:09
3,1.533461,1.565909,0.503000,0.566511,0.999398,07:10
4,1.525933,1.519805,0.546000,0.519898,0.999907,07:10
5,1.386820,1.437515,0.595000,0.437520,0.999995,07:10
6,1.405134,1.430565,0.604000,0.430595,0.999970,07:10
7,1.317406,1.398261,0.627000,0.398378,0.999883,07:10
8,1.354320,1.393489,0.635000,0.393527,0.999962,07:08
9,1.386392,1.381713,0.639000,0.381985,0.999728,07:11
10,1.361778,1.385758,0.644000,0.385803,0.999955,07:10
11,1.315701,1.331685,0.688000,0.331928,0.999758,07:09
12,1.281905,1.298676,0.711000,0.298866,0.999810,07:10
13,1.220239,1.287915,0.718000,0.288064,0.999851,07:10
14,1.241440,1.261543,0.737000,0.261587,0.999956,07:10
15,1.236336,1.261970,0.737000,0.261985,0.999985,07:10
16,1.228459,1.264802,0.737000,0.264814,0.999988,07:10
17,1.226475,1.262725,0.737000,0.262758,0.999967,07:09
18,1.255095,1.261674,0.737000,0.261683,0.999991,07:10
19,1.223991,1.263948,0.738000,0.264004,0.999944,07:11
20,1.233448,1.263761,0.733000,0.263824,0.999937,07:10
21,1.246278,1.270747,0.727000,0.270788,0.999959,07:10
22,1.225500,1.261434,0.738000,0.261498,0.999936,07:09
23,1.220776,1.260604,0.743000,0.260725,0.999879,07:12
24,1.229634,1.265158,0.727000,0.265258,0.999900,07:09
25,1.235231,1.261012,0.737000,0.261060,0.999953,07:10
26,1.228683,1.259815,0.737000,0.259902,0.999913,07:10
27,1.236382,1.256769,0.743000,0.256857,0.999912,07:11
28,1.225762,1.260028,0.737000,0.260104,0.999924,07:10
29,1.241462,1.269616,0.732000,0.269648,0.999968,07:11
30,1.252751,1.270449,0.726000,0.270488,0.999961,07:09
31,1.233532,1.272906,0.722000,0.272937,0.999969,07:10
32,1.246567,1.263874,0.738000,0.263972,0.999902,07:09
33,1.239342,1.260575,0.747000,0.260588,0.999987,07:09
34,1.223023,1.258288,0.746000,0.258317,0.999971,07:10
35,1.203537,1.269070,0.731000,0.269137,0.999933,07:09
36,1.243124,1.264417,0.733000,0.264475,0.999941,07:10
37,1.249276,1.265009,0.738000,0.265017,0.999992,07:11
38,1.221321,1.257249,0.740000,0.257259,0.999990,07:10
39,1.238108,1.260053,0.740000,0.260077,0.999976,07:09
