epoch,train_loss,valid_loss,validation,fool_loss,time
0,10.651580,10.765552,0.684000,10.765553,04:28
1,9.288738,9.389804,0.795000,9.389805,04:24
2,8.910102,9.026101,0.822000,9.026102,04:25
3,8.519203,8.760777,0.831000,8.760774,04:25
4,8.425844,8.645958,0.831000,8.645959,04:26
5,8.327926,8.316078,0.841000,8.316080,04:30
6,8.097418,8.311634,0.839000,8.311633,04:27
7,7.987278,8.153022,0.834000,8.153022,04:27
8,7.803453,7.957952,0.836000,7.957953,04:26
9,7.633911,7.869156,0.838000,7.869156,04:24
10,7.553003,7.694891,0.854000,7.694890,04:31
11,7.418716,7.517106,0.843000,7.517107,04:23
12,6.922819,7.365741,0.833000,7.365742,04:24
13,7.119242,7.299870,0.852000,7.299870,04:24
14,6.855855,7.072249,0.851000,7.072248,04:25
15,6.661163,6.957136,0.859000,6.957136,04:25
16,6.460066,6.776457,0.857000,6.776458,04:24
17,6.576899,6.627897,0.863000,6.627898,04:23
18,6.358566,6.512101,0.859000,6.512100,04:25
19,6.158228,6.595882,0.864000,6.595883,04:25
20,6.029982,6.447427,0.868000,6.447427,04:26
21,6.098300,6.259239,0.862000,6.259239,04:24
22,5.921258,6.268492,0.861000,6.268493,04:24
23,5.787356,6.061738,0.873000,6.061738,04:24
24,5.763004,6.027166,0.873000,6.027166,04:24
25,5.709429,5.893370,0.875000,5.893370,04:23
26,5.610617,5.923787,0.873000,5.923786,04:24
27,5.736981,5.864900,0.866000,5.864897,04:24
28,5.527125,5.621593,0.868000,5.621593,04:24
29,5.523942,5.766481,0.878000,5.766480,04:24
30,5.464828,5.646860,0.873000,5.646859,04:25
31,5.366074,5.647933,0.860000,5.647933,04:25
32,5.134377,5.599114,0.895000,5.599114,04:23
33,5.210670,5.558924,0.873000,5.558925,04:25
34,5.264747,5.514386,0.879000,5.514386,04:24
35,5.092942,5.442615,0.878000,5.442615,04:24
36,4.942143,5.446190,0.856000,5.446191,04:26
37,4.888693,5.414797,0.884000,5.414796,04:24
38,5.097573,5.180487,0.879000,5.180487,04:25
39,4.949831,5.376572,0.864000,5.376573,04:23
40,5.020747,5.374885,0.876000,5.374885,04:25
41,4.832171,5.143356,0.877000,5.143356,04:24
42,4.820916,5.144016,0.871000,5.144016,04:23
43,4.771208,5.078206,0.892000,5.078206,04:23
44,4.805568,4.986336,0.875000,4.986336,04:25
45,4.961578,5.045011,0.869000,5.045012,04:23
46,4.652268,4.984717,0.878000,4.984718,04:24
47,4.647061,4.952917,0.875000,4.952917,04:25
48,4.646637,4.911158,0.881000,4.911158,04:24
49,4.575374,4.940317,0.870000,4.940317,04:24
50,4.605234,4.911741,0.873000,4.911741,04:24
51,4.724186,4.935057,0.878000,4.935057,04:25
52,4.539374,4.917902,0.865000,4.917902,04:26
53,4.621241,4.897813,0.869000,4.897811,04:26
54,4.625300,4.895626,0.874000,4.895627,04:26
55,4.637202,4.859200,0.877000,4.859200,04:25
56,4.532434,4.789184,0.882000,4.789184,04:26
57,4.632132,4.849865,0.865000,4.849865,04:25
58,4.510431,4.842061,0.869000,4.842061,04:25
59,4.548279,4.661653,0.873000,4.661653,04:32
60,4.478058,4.830250,0.876000,4.830249,04:32
61,4.434118,4.703773,0.871000,4.703774,04:25
62,4.442957,4.748939,0.873000,4.748939,04:25
63,4.452049,4.718265,0.870000,4.718266,04:26
64,4.117341,4.685399,0.881000,4.685399,04:26
65,4.551650,4.568803,0.878000,4.568803,04:24
66,4.377992,4.513448,0.892000,4.513448,04:25
67,4.370959,4.665665,0.881000,4.665665,04:24
68,4.110276,4.625669,0.880000,4.625669,04:25
69,4.244268,4.599040,0.869000,4.599040,04:25
70,4.298826,4.524901,0.888000,4.524902,04:26
71,4.191469,4.587623,0.879000,4.587621,04:25
72,4.231600,4.582287,0.880000,4.582288,04:25
73,4.132946,4.516501,0.876000,4.516500,04:26
74,4.376170,4.573880,0.859000,4.573879,04:25
75,4.250404,4.440429,0.877000,4.440428,04:25
76,3.939459,4.542103,0.870000,4.542104,04:25
77,4.390625,4.426880,0.879000,4.426880,04:25
78,4.188190,4.507886,0.867000,4.507885,04:25
79,4.349319,4.476006,0.875000,4.476006,04:26
80,4.107510,4.457390,0.865000,4.457389,04:25
81,4.209961,4.426731,0.882000,4.426730,04:24
82,4.369773,4.405753,0.882000,4.405751,04:25
83,4.148344,4.362528,0.883000,4.362527,04:31
84,4.106399,4.340458,0.877000,4.340458,04:23
85,3.777568,4.309407,0.881000,4.309407,04:26
86,3.953722,4.525520,0.866000,4.525520,04:26
87,4.051654,4.372077,0.880000,4.372076,04:31
88,4.025223,4.515598,0.875000,4.515598,04:23
89,3.961011,4.319076,0.882000,4.319076,04:25
