epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,time
0,1.908522,1.876815,0.336000,0.876817,0.999999,07:38
1,1.879509,1.861990,0.341000,0.862003,0.999987,07:37
2,1.824444,1.844112,0.346000,0.844115,0.999998,07:33
3,1.816546,1.844789,0.346000,0.844792,0.999998,07:37
4,1.796058,1.815193,0.357000,0.815218,0.999976,07:33
5,1.788141,1.801140,0.372000,0.801164,0.999977,07:34
6,1.803424,1.790186,0.378000,0.790207,0.999980,07:34
7,1.723847,1.784932,0.374000,0.784961,0.999971,07:31
8,1.797076,1.788025,0.375000,0.788060,0.999966,07:37
9,1.727162,1.769533,0.378000,0.769561,0.999972,07:35
10,1.746533,1.765048,0.386000,0.765193,0.999855,07:33
11,1.705480,1.752010,0.390000,0.752048,0.999963,07:35
12,1.721748,1.747305,0.392000,0.747510,0.999795,07:35
13,1.749605,1.733675,0.396000,0.735578,0.998097,07:41
14,1.740059,1.725946,0.405000,0.728133,0.997813,07:39
15,1.791770,1.725398,0.406000,0.728097,0.997300,07:37
16,1.695679,1.707142,0.421000,0.716404,0.990738,07:37
17,1.690784,1.680192,0.423000,0.717149,0.963043,07:37
18,1.300772,1.360041,0.671000,0.360125,0.999917,07:36
19,1.248243,1.293925,0.721000,0.293985,0.999941,07:33
20,1.240537,1.268737,0.736000,0.268776,0.999961,07:34
21,1.220070,1.261601,0.742000,0.261742,0.999859,07:32
22,1.187737,1.249938,0.763000,0.250007,0.999930,07:35
23,1.212766,1.236331,0.774000,0.236529,0.999802,07:36
24,0.945744,0.978308,0.735000,0.287062,0.691246,07:34
25,0.834141,0.846525,0.780000,0.228798,0.617727,07:34
26,0.731906,0.807426,0.783000,0.215343,0.592084,07:32
27,0.724449,0.809854,0.788000,0.215611,0.594243,07:34
28,0.688287,0.806878,0.784000,0.221499,0.585380,07:32
29,0.727381,0.814944,0.781000,0.223370,0.591574,07:38
30,0.698636,0.818260,0.780000,0.220424,0.597836,07:38
31,0.699384,0.786868,0.794000,0.207955,0.578912,07:39
32,0.681576,0.785595,0.784000,0.217797,0.567798,07:35
33,0.701691,0.784237,0.770000,0.230650,0.553587,07:34
34,0.705171,0.771214,0.753000,0.257146,0.514068,07:33
35,0.693907,0.781070,0.739000,0.264938,0.516131,07:35
36,0.676707,0.777369,0.774000,0.234325,0.543044,07:35
37,0.715454,0.769446,0.744000,0.265918,0.503528,07:37
38,0.653488,0.783352,0.745000,0.266383,0.516969,07:35
39,0.656011,0.749846,0.763000,0.242813,0.507033,07:33
40,0.604783,0.737628,0.780000,0.229179,0.508449,07:28
41,0.649451,0.742691,0.764000,0.243128,0.499562,07:34
42,0.627552,0.758389,0.769000,0.242397,0.515993,07:35
43,0.673293,0.730464,0.757000,0.249610,0.480854,07:30
44,0.569007,0.775631,0.752000,0.258290,0.517341,07:35
45,0.612026,0.733128,0.756000,0.255867,0.477261,07:38
46,0.676580,0.743941,0.769000,0.246026,0.497915,07:36
47,0.643499,0.709789,0.769000,0.241789,0.467999,07:30
48,0.642002,0.756246,0.749000,0.262458,0.493788,07:09
49,0.622771,0.740339,0.784000,0.224980,0.515359,07:08
