epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss,time
0,1.279580,1.396563,0.826000,197,0.379779,0.257225,05:34
1,1.145507,1.222376,0.840000,203,0.328227,0.237695,05:34
2,1.036960,1.266020,0.836000,190,0.346348,0.226977,05:37
3,1.014096,1.158526,0.853000,181,0.307376,0.236399,05:43
4,1.013728,1.163305,0.852000,176,0.306953,0.242445,05:40
5,0.940064,1.149560,0.859000,166,0.303309,0.239633,05:42
6,0.946266,1.154286,0.861000,166,0.301750,0.249036,05:42
7,0.996939,1.096416,0.864000,163,0.282701,0.248314,05:39
8,0.904741,1.096981,0.861000,161,0.278478,0.261546,05:43
9,0.951740,1.109321,0.869000,144,0.280470,0.267912,05:40
10,0.958685,1.090214,0.872000,151,0.277241,0.258491,05:41
11,0.968000,1.083613,0.865000,153,0.285076,0.228385,05:40
12,0.935116,1.074162,0.871000,155,0.278483,0.238712,05:41
13,0.912083,1.085400,0.869000,148,0.279733,0.246203,05:40
14,0.889392,1.078556,0.864000,150,0.274237,0.255844,05:41
15,0.842666,1.012254,0.872000,139,0.251814,0.256812,05:41
16,0.826023,1.113510,0.872000,135,0.289178,0.245976,05:41
17,0.959935,1.047958,0.875000,135,0.262708,0.259835,05:42
18,0.898971,1.094709,0.875000,141,0.286434,0.235406,05:39
19,0.950315,1.051270,0.877000,144,0.269302,0.243363,05:41
20,0.898563,1.009068,0.880000,142,0.253644,0.248138,05:41
21,0.926030,1.026815,0.879000,148,0.254283,0.263967,05:40
22,0.814607,1.002425,0.877000,132,0.253154,0.242963,05:42
23,0.815537,1.066199,0.874000,127,0.276109,0.237872,05:41
24,0.881815,1.028294,0.884000,137,0.260840,0.245775,05:42
25,0.881093,1.049276,0.882000,146,0.266498,0.249782,05:42
26,0.847215,1.059981,0.876000,140,0.274616,0.236132,05:32
27,0.916407,1.019654,0.880000,142,0.245808,0.282231,05:31
28,0.936756,0.990250,0.889000,136,0.244316,0.257302,05:32
29,0.765640,0.981769,0.883000,138,0.244209,0.249142,05:27
