epoch,train_loss,valid_loss,validation,fool_loss,div_loss,time
0,6.592832,6.587547,0.691000,0.800649,0.578690,03:56
1,5.857763,6.249413,0.687000,0.788504,0.546091,04:10
2,5.067877,5.832203,0.743000,0.693637,0.513857,04:27
3,4.629988,5.496900,0.738000,0.721377,0.477552,04:26
4,4.590245,4.737731,0.762000,0.600977,0.413675,04:27
5,4.343144,4.685064,0.804000,0.500381,0.418468,04:27
6,4.033127,4.658804,0.797000,0.604210,0.405459,04:27
7,4.112186,4.433949,0.796000,0.554115,0.387983,04:27
8,3.889749,4.433023,0.805000,0.501069,0.393196,04:30
9,4.380627,4.221974,0.798000,0.542746,0.367923,04:30
10,3.884930,4.261303,0.795000,0.577416,0.368389,04:31
11,3.628186,4.243551,0.819000,0.483033,0.376052,04:29
12,3.760430,4.003047,0.821000,0.482472,0.352058,04:31
13,3.637045,4.328729,0.796000,0.543065,0.378566,04:30
14,3.866471,4.135113,0.803000,0.476204,0.365891,04:30
15,3.459067,3.686371,0.820000,0.470299,0.321607,04:22
16,3.301281,3.967045,0.829000,0.465733,0.350131,04:22
17,3.542262,4.083969,0.809000,0.524465,0.355950,04:20
18,3.445028,3.827136,0.830000,0.448437,0.337870,04:23
19,3.522708,4.251650,0.836000,0.477793,0.377386,04:21
20,3.246222,3.794353,0.820000,0.475321,0.331903,04:23
21,3.180388,3.822659,0.829000,0.468064,0.335460,04:22
22,3.473166,3.735844,0.833000,0.470354,0.326549,04:20
23,3.267538,3.625388,0.852000,0.426603,0.319878,04:23
24,3.286148,3.626731,0.836000,0.426821,0.319991,04:22
25,3.269688,3.702415,0.837000,0.393018,0.330940,04:21
26,3.050999,3.520427,0.827000,0.489951,0.303048,04:23
27,3.129763,3.676530,0.841000,0.408130,0.326840,04:24
28,3.111780,3.532729,0.851000,0.397294,0.313544,04:24
29,3.090855,3.588175,0.842000,0.454992,0.313318,04:22
30,3.001122,3.390756,0.846000,0.429602,0.296115,04:23
31,2.732141,3.563183,0.856000,0.389175,0.317401,04:20
32,3.304654,3.612733,0.858000,0.409647,0.320309,04:21
33,2.955021,3.373199,0.851000,0.387621,0.298558,04:24
34,2.944476,3.448674,0.844000,0.410415,0.303826,04:26
35,3.053594,3.353908,0.823000,0.448136,0.290577,04:25
36,2.649822,3.343331,0.849000,0.415794,0.292754,04:21
37,2.769628,3.118621,0.849000,0.373429,0.274519,04:22
38,2.866975,3.416805,0.851000,0.407000,0.300980,04:21
39,2.789295,3.553205,0.851000,0.390258,0.316295,04:23
