epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,time
0,4.179258,4.168369,0.388000,1.671932,0.998574,03:33
1,3.743433,3.848030,0.471000,1.348175,0.999942,03:35
2,3.445120,3.530930,0.587000,1.031722,0.999683,03:32
3,2.890268,3.032186,0.604000,1.064338,0.787140,03:33
4,2.369622,2.500609,0.652000,0.866741,0.653547,03:42
5,2.118575,2.293709,0.699000,0.737820,0.622356,03:32
6,2.107853,2.321659,0.697000,0.797584,0.609630,03:36
7,1.969930,2.198805,0.711000,0.672151,0.610661,03:33
8,1.989517,2.236841,0.721000,0.709482,0.610944,03:37
9,2.026762,2.250777,0.724000,0.731334,0.607777,03:34
10,1.904623,2.185892,0.728000,0.720369,0.586209,03:34
11,1.974456,2.105223,0.749000,0.656945,0.579311,03:35
12,1.864564,2.118377,0.737000,0.689822,0.571422,03:34
13,1.890997,2.018116,0.757000,0.616288,0.560731,03:32
14,1.848806,2.007191,0.749000,0.642004,0.546075,03:34
15,1.684149,2.063142,0.753000,0.655194,0.563179,03:33
16,1.679938,1.840867,0.751000,0.624642,0.486490,03:32
17,1.724720,1.909892,0.759000,0.623587,0.514522,03:33
18,1.670077,1.789664,0.761000,0.597585,0.476832,03:32
19,1.564842,1.814401,0.755000,0.605246,0.483662,03:33
20,1.618801,1.744974,0.769000,0.605784,0.455676,03:34
21,1.589324,1.685459,0.765000,0.529834,0.462250,03:35
22,1.509876,1.752031,0.781000,0.558789,0.477297,03:32
23,1.464543,1.708972,0.786000,0.529146,0.471931,03:41
24,1.517029,1.755539,0.785000,0.553397,0.480857,03:39
25,1.446916,1.717285,0.777000,0.554728,0.465023,03:35
26,1.481852,1.713382,0.786000,0.554010,0.463749,03:33
27,1.409282,1.679911,0.765000,0.565746,0.445666,03:40
28,1.390045,1.652655,0.789000,0.520006,0.453060,03:41
29,1.401807,1.548036,0.797000,0.507291,0.416298,03:42
30,1.406826,1.611006,0.792000,0.510788,0.440087,03:31
31,1.476806,1.651037,0.808000,0.505126,0.458364,03:33
32,1.507825,1.566971,0.793000,0.505976,0.424398,03:31
33,1.366837,1.562715,0.790000,0.512837,0.419951,03:31
34,1.440553,1.553086,0.804000,0.502675,0.420164,03:31
35,1.203389,1.485310,0.807000,0.488207,0.398841,03:37
36,1.335527,1.397680,0.820000,0.426343,0.388535,03:31
37,1.233864,1.426670,0.823000,0.491153,0.374206,03:30
38,1.260724,1.399427,0.841000,0.407277,0.396860,03:31
39,1.234725,1.466538,0.837000,0.406479,0.424023,03:32
