epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,entropy,fool_loss,time
77,3.085750,3.381289,0.735000,0.514000,502.250000,7.730593,3.381289,06:25
78,3.037519,3.362539,0.733000,0.510000,502.250000,7.779176,3.362539,06:14
79,3.200064,3.392810,0.729000,0.524000,508.500000,7.990377,3.392809,06:32
80,3.060713,3.421140,0.735000,0.514000,494.500000,7.817740,3.421141,06:48
81,3.165314,3.353786,0.748000,0.521000,516.250000,8.059892,3.353787,06:34
82,2.915819,3.293640,0.754000,0.529000,487.750000,7.806782,3.293641,06:43
83,3.120461,3.370465,0.729000,0.515000,514.250000,7.984150,3.370465,06:38
84,3.068478,3.347983,0.751000,0.510000,538.750000,8.174892,3.347983,06:40
85,2.994323,3.402264,0.724000,0.500000,542.500000,8.242147,3.402264,06:41
86,3.091102,3.335884,0.740000,0.512000,496.500000,7.747768,3.335884,06:29
87,2.965253,3.293920,0.741000,0.516000,526.000000,8.116374,3.293920,06:36
88,3.163139,3.318126,0.750000,0.524000,500.250000,7.869115,3.318125,06:44
89,3.003105,3.339115,0.733000,0.510000,517.000000,8.075973,3.339115,06:31
90,2.902839,3.347920,0.741000,0.515000,520.750000,8.051830,3.347920,06:44
91,3.084941,3.329950,0.751000,0.514000,509.250000,7.961010,3.329950,06:40
92,3.102738,3.303539,0.752000,0.529000,510.250000,7.804418,3.303539,06:37
93,3.021207,3.362485,0.738000,0.509000,521.750000,7.989090,3.362485,06:40
94,2.956272,3.316469,0.747000,0.520000,513.250000,7.975831,3.316468,06:37
95,3.084657,3.273593,0.748000,0.523000,492.500000,7.716519,3.273593,06:41
96,2.967744,3.328925,0.747000,0.515000,503.000000,7.745691,3.328925,06:32
97,3.128413,3.375835,0.740000,0.501000,540.750000,8.227154,3.375834,06:24
98,2.991794,3.308301,0.750000,0.518000,524.750000,8.110838,3.308301,06:13
99,3.189612,3.312389,0.736000,0.506000,504.250000,7.922750,3.312389,06:15
100,2.996400,3.365741,0.739000,0.512000,495.750000,7.809695,3.365741,06:24
101,3.045056,3.354118,0.741000,0.522000,520.000000,8.091427,3.354117,06:25
102,3.051414,3.249255,0.738000,0.517000,519.750000,7.979069,3.249255,06:36
103,3.055193,3.391605,0.748000,0.521000,516.750000,7.985795,3.391605,06:40
104,2.999092,3.267555,0.751000,0.518000,484.250000,7.581544,3.267555,06:28
105,3.143322,3.320220,0.738000,0.520000,500.500000,7.729393,3.320219,06:30
106,3.088897,3.276073,0.745000,0.524000,498.750000,7.791917,3.276073,06:26
107,3.042199,3.374778,0.755000,0.510000,506.250000,7.862089,3.374778,06:20
108,2.810912,3.252181,0.754000,0.521000,539.000000,8.215221,3.252181,06:19
109,3.030150,3.323517,0.746000,0.520000,521.000000,7.946476,3.323517,06:23
110,2.824596,3.223818,0.766000,0.539000,518.000000,8.023970,3.223818,06:45
111,2.979031,3.276685,0.743000,0.510000,498.000000,7.835775,3.276685,06:29
112,3.029001,3.281802,0.731000,0.529000,530.500000,8.123650,3.281802,06:32
113,2.982648,3.212106,0.762000,0.527000,511.750000,7.939227,3.212106,06:38
114,2.858255,3.297054,0.759000,0.520000,519.250000,7.914923,3.297054,06:36
115,2.957905,3.202150,0.737000,0.547000,537.750000,8.077608,3.202150,06:45
116,3.011545,3.258858,0.746000,0.519000,518.500000,7.901309,3.258858,06:45
117,2.829384,3.314767,0.734000,0.512000,528.750000,8.092052,3.314767,06:42
118,2.973778,3.272564,0.741000,0.530000,527.000000,7.927088,3.272564,06:36
119,2.913557,3.264492,0.743000,0.520000,541.250000,8.301728,3.264492,06:45
120,2.962298,3.248720,0.741000,0.523000,537.000000,8.235424,3.248720,06:31
121,2.989217,3.176898,0.748000,0.517000,507.000000,7.881534,3.176898,06:26
122,2.869630,3.268636,0.752000,0.515000,538.000000,8.066156,3.268636,06:34
123,2.919321,3.221422,0.750000,0.533000,544.000000,8.082623,3.221422,06:33
124,3.034945,3.264639,0.749000,0.515000,503.250000,7.753582,3.264638,06:40
125,3.025765,3.225274,0.753000,0.519000,541.750000,8.260445,3.225274,06:43
126,2.946060,3.252657,0.740000,0.515000,513.000000,7.984250,3.252657,06:45
127,2.896769,3.252649,0.745000,0.528000,533.250000,8.134182,3.252649,06:46
128,2.916669,3.223551,0.765000,0.549000,525.000000,8.111290,3.223551,06:43
129,2.863913,3.208422,0.746000,0.519000,513.500000,7.960355,3.208421,06:34
130,3.019584,3.150723,0.771000,0.543000,524.250000,7.950286,3.150723,06:23
131,2.844954,3.289292,0.748000,0.530000,529.250000,8.102122,3.289292,06:23
132,2.925913,3.242612,0.744000,0.540000,516.750000,7.979115,3.242611,06:17
133,2.868477,3.279125,0.744000,0.528000,526.000000,7.948410,3.279125,06:36
134,2.920678,3.237771,0.742000,0.517000,521.750000,8.019085,3.237771,06:41
135,2.936611,3.192010,0.750000,0.535000,538.750000,7.993061,3.192011,06:47
136,2.887995,3.310966,0.755000,0.530000,518.750000,7.959620,3.310965,06:47
137,2.777689,3.262861,0.738000,0.521000,524.500000,7.930230,3.262861,06:48
138,2.765917,3.283037,0.737000,0.522000,548.000000,8.162829,3.283038,06:29
139,2.792117,3.178421,0.759000,0.538000,544.750000,8.241898,3.178421,06:34
140,2.995252,3.247464,0.739000,0.529000,517.500000,7.861552,3.247464,06:26
141,2.990281,3.245579,0.756000,0.532000,544.000000,8.192449,3.245579,06:22
142,2.880368,3.212159,0.746000,0.539000,526.500000,7.953773,3.212159,06:13
143,2.975058,3.223986,0.736000,0.517000,519.500000,7.924760,3.223986,06:28
144,2.901524,3.214622,0.768000,0.525000,539.000000,8.065006,3.214622,06:38
145,2.948950,3.207706,0.751000,0.535000,557.000000,8.353781,3.207706,06:43
146,2.794885,3.267120,0.734000,0.519000,520.750000,8.058009,3.267120,06:36
147,2.994737,3.187457,0.748000,0.539000,515.000000,7.950069,3.187457,06:32
148,2.890558,3.188383,0.756000,0.540000,517.750000,7.815935,3.188383,06:33
149,2.928802,3.186696,0.749000,0.537000,576.500000,8.372744,3.186696,06:18
150,2.839649,3.142365,0.749000,0.556000,542.750000,8.282669,3.142365,06:22
151,2.797400,3.184709,0.758000,0.547000,532.500000,7.962376,3.184709,06:43
152,2.987713,3.244279,0.747000,0.524000,540.750000,8.169011,3.244278,06:31
