epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,time
0,2.437514,2.472373,0.444000,1.472413,0.999961,03:32
1,2.166000,2.265679,0.476000,1.265982,0.999698,03:35
2,2.177696,2.215550,0.485000,1.215628,0.999922,03:31
3,2.106627,2.136403,0.505000,1.136910,0.999493,03:32
4,2.106694,2.121486,0.514000,1.121858,0.999628,03:31
5,2.064973,2.084758,0.509000,1.085496,0.999262,03:31
