epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,time
0,2.354085,2.424988,0.453000,1.424993,0.999994,03:30
1,2.313264,2.400519,0.454000,1.400520,1.000000,03:32
2,2.420655,2.386749,0.455000,1.386763,0.999986,03:31
3,2.250734,2.380038,0.456000,1.380089,0.999950,03:32
4,2.317015,2.323124,0.451000,1.323315,0.999809,03:35
5,2.153336,2.216825,0.492000,1.217056,0.999769,03:32
