epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,entropy,fool_loss,time
0,10.864452,10.903290,0.511000,0.000000,777.000000,9.600423,10.903291,06:01
1,10.120551,10.256346,0.623000,0.000000,528.250000,8.516838,10.256346,05:57
2,9.647437,9.793013,0.690000,0.001000,429.500000,8.063310,9.793013,05:50
