epoch,train_loss,valid_loss,validation,fool_loss,div_loss,time
0,2.056092,2.191295,0.495000,1.191399,0.999896,03:52
1,2.062454,2.081716,0.512000,1.082153,0.999563,03:52
2,1.885437,1.943868,0.552000,0.948206,0.995662,03:52
3,1.758784,1.843926,0.575000,0.857798,0.986129,03:51
