epoch,train_loss,valid_loss,validation,fool_loss,div_loss,time
0,2.279331,2.292015,0.474000,1.292710,0.999305,03:55
1,2.167852,2.083143,0.528000,1.083782,0.999361,03:56
2,1.426440,1.465922,0.798000,0.466100,0.999821,03:56
3,1.323083,1.393419,0.825000,0.393502,0.999917,03:56
