epoch,train_loss,valid_loss,validation,div_metric,div_loss_0,triplet_loss,time
0,5.657286,5.567697,0.406000,806,0.697312,1.217596,05:58
1,5.587383,5.445317,0.319000,807,0.716739,1.182145,05:58
2,5.297219,5.115472,0.444000,806,0.612043,1.125857,05:58
3,5.108118,4.917497,0.478000,806,0.565672,1.087956,05:58
