epoch,train_loss,valid_loss,validation,div_metric,div_loss_0,triplet_loss,time
0,5.669658,5.665715,0.322000,806,0.769746,1.223992,05:59
1,5.587136,5.623011,0.380000,807,0.709368,1.228411,05:59
2,5.367422,5.289648,0.365000,807,0.650946,1.159676,05:59
3,4.814439,4.835598,0.535000,806,0.535152,1.075112,05:59
