epoch,train_loss,valid_loss,validation,div_metric,div_loss_0,triplet_loss,time
0,5.515313,5.305285,0.481000,807,0.703426,1.150464,05:58
1,4.958650,4.695008,0.619000,806,0.580950,1.028514,05:59
2,4.893534,4.577608,0.550000,807,0.583801,0.998452,05:58
3,4.774000,4.566357,0.530000,806,0.551734,1.003655,05:58
