epoch,train_loss,valid_loss,validation,div_metric,div_loss_0,triplet_loss,time
0,5.894205,5.795858,0.377000,808,0.825551,1.242577,05:58
1,5.417948,5.371719,0.472000,807,0.666445,1.176318,05:59
2,5.074729,5.051574,0.479000,808,0.637708,1.103467,05:58
3,4.990713,5.115060,0.439000,806,0.627466,1.121898,05:58
