epoch,train_loss,valid_loss,validation,div_metric,div_loss_0,triplet_loss,time
0,5.830312,5.629780,0.387000,807,0.747473,1.220577,05:58
1,5.441193,5.156591,0.583000,805,0.644199,1.128098,05:59
2,5.204010,5.139620,0.578000,805,0.616149,1.130868,05:58
3,5.015663,5.028910,0.570000,806,0.601017,1.106973,05:58
