epoch,train_loss,valid_loss,validation,div_metric,div_loss_0,triplet_loss,time
0,6.002165,5.842062,0.240000,806,0.823507,1.254639,05:58
1,5.569639,5.415561,0.392000,806,0.714436,1.175281,05:58
2,5.211724,5.096861,0.464000,808,0.654378,1.110621,05:58
3,5.251007,5.110447,0.473000,805,0.643855,1.116647,05:58
