epoch,train_loss,valid_loss,validation,div_metric,div_loss_0,triplet_loss,time
0,5.860460,5.688882,0.301000,806,0.783964,1.226230,05:58
1,5.526558,5.354506,0.454000,807,0.693960,1.165136,05:59
2,5.202601,5.127543,0.500000,807,0.626078,1.125367,05:59
3,5.164526,4.991636,0.469000,807,0.656224,1.083853,05:58
