epoch,train_loss,valid_loss,validation,div_metric,div_loss_0,triplet_loss,time
0,5.774541,5.596668,0.422000,808,0.707827,1.222210,05:58
1,5.556367,5.302264,0.346000,808,0.721625,1.145160,05:58
2,5.251274,4.998588,0.438000,806,0.632544,1.091511,05:58
3,5.152799,5.191669,0.651000,807,0.647380,1.136072,05:58
