epoch,train_loss,valid_loss,validation,div_metric,div_loss,triplet_loss,time
0,5.642801,5.372943,0.543000,789,0.755503,1.154360,07:17
1,5.059550,4.604720,0.692000,473,0.545619,1.014775,07:17
2,4.671800,4.487127,0.705000,555,0.467903,1.004806,07:17
