epoch,train_loss,valid_loss,validation,div_metric,div_loss,triplet_loss,time
0,5.346993,4.926518,0.357000,795,0.665274,1.065312,07:16
1,5.153537,4.874341,0.336000,780,0.614875,1.064867,07:16
2,4.529516,4.197917,0.511000,791,0.492291,0.926407,07:17
